#{"t_start": 1617137074.6515794, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,125,3.609087
1.0,173,6.482443
2.0,203,10.021106
3.0,252,15.10773
0.0,123,17.103395
2.0,202,20.735831
0.0,125,23.057089
1.0,153,25.840391
0.0,123,28.075378
0.0,127,30.348989
1.0,175,33.555738
0.0,125,35.869458
2.0,190,39.65669
1.0,171,43.294124
3.0,270,49.546948
3.0,248,54.423824
0.0,129,56.672911
3.0,248,61.717866
1.0,153,64.679926
4.0,322,71.202816
0.0,129,73.620337
2.0,202,77.496861
5.0,352,84.694551
2.0,187,88.39659
0.0,127,90.823862
0.0,129,93.128874
9.0,380,101.004756
1.0,173,104.464511
0.0,125,106.791785
4.0,282,112.20285
0.0,127,114.509862
1.0,171,117.799262
5.0,350,124.622816
0.0,129,126.995346
0.0,129,129.490602
0.0,129,131.885199
0.0,129,134.309023
0.0,127,136.740962
4.0,278,142.364959
4.0,299,148.356467
0.0,123,150.685331
3.0,248,155.401775
2.0,226,159.715477
0.0,127,162.011904
0.0,129,164.336073
9.0,404,172.652726
9.0,404,181.042805
6.0,396,188.894741
4.0,299,195.078116
3.0,248,200.216626
4.0,297,206.012705
0.0,125,208.287273
9.0,380,216.093657
0.0,127,218.413723
0.0,129,220.939806
0.0,127,223.410648
4.0,300,229.355998
1.0,175,232.568355
3.0,214,236.61866
9.0,380,244.107438
13.0,459,253.248724
1.0,176,256.475792
5.0,350,263.19237
1.0,173,266.453978
3.0,230,270.863081
1.0,157,273.843693
1.0,153,276.710044
1.0,176,280.290181
1.0,157,283.409827
2.0,181,287.051874
3.0,250,292.147826
2.0,204,296.609498
2.0,202,301.062004
11.0,500,311.040617
2.0,202,314.994951
9.0,403,323.308579
6.0,367,330.856826
4.0,267,336.074237
1.0,177,339.572344
6.0,327,345.950332
1.0,155,348.823498
11.0,472,358.325305
11.0,500,368.165795
8.0,392,375.802644
5.0,327,382.087022
6.0,378,389.536478
8.0,497,399.242492
10.0,423,407.521059
2.0,204,411.395246
19.0,473,420.584936
7.0,406,428.366655
3.0,215,432.460454
5.0,318,438.554154
13.0,474,447.657149
9.0,308,453.477183
12.0,410,461.317442
9.0,308,467.282948
11.0,472,476.30543
11.0,571,487.373153
5.0,314,493.404384
5.0,349,500.2369
16.0,541,511.38023
9.0,347,518.091404
2.0,202,521.813982
17.0,375,529.719873
8.0,477,539.525693
11.0,502,549.817893
6.0,337,556.786429
16.0,643,569.985769
15.0,552,580.641009
14.0,366,587.691455
13.0,496,597.150602
12.0,561,607.901984
6.0,356,614.908291
7.0,450,623.937852
22.0,754,638.676406
15.0,604,650.332847
12.0,568,661.140173
16.0,442,669.56545
15.0,614,681.347814
12.0,618,693.165321
21.0,782,708.224629
4.0,319,714.314212
14.0,571,725.408489
12.0,591,736.931566
14.0,582,748.234553
19.0,750,762.794554
21.0,522,772.798026
19.0,759,787.499115
17.0,574,798.663036
22.0,678,811.799101
19.0,710,825.592175
17.0,663,838.503899
22.0,616,850.271013
28.0,657,862.888475
12.0,607,874.499977
14.0,398,882.032509
11.0,516,891.87112
22.0,570,902.772268
11.0,524,912.659178
25.0,826,928.53143
20.0,740,942.8833
8.0,438,951.381362
23.0,674,964.375467
16.0,485,973.754249
10.0,549,984.275874
16.0,653,996.849567
25.0,675,1009.843345
15.0,440,1018.260846
36.0,1039,1038.600862
19.0,716,1052.440814
11.0,523,1062.263259
14.0,631,1074.345148
13.0,585,1085.526176
21.0,753,1099.99946
27.0,937,1118.240395
24.0,719,1132.048584
14.0,623,1144.005368
12.0,494,1153.457349
23.0,751,1167.930995
35.0,1018,1187.490214
25.0,716,1201.160417
27.0,731,1215.100346
28.0,858,1231.467077
34.0,1042,1251.450859
36.0,974,1270.092297
58.0,1306,1295.153317
25.0,792,1310.215577
45.0,1415,1337.713234
45.0,1086,1358.57301
42.0,968,1377.02187
28.0,554,1387.410951
48.0,1072,1407.926723
35.0,923,1425.461909
14.0,653,1437.916006
25.0,919,1455.409152
45.0,1255,1479.515293
1.0,173,1482.89971
