#{"t_start": 1617137074.5369241, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
1.0,175,4.688655
2.0,202,8.027367
0.0,129,10.202579
1.0,155,13.091913
3.0,229,17.527092
0.0,127,19.616063
0.0,129,21.944211
1.0,157,24.828228
1.0,175,28.104616
0.0,129,30.490121
2.0,219,34.585956
2.0,223,39.030325
3.0,250,44.548987
1.0,157,48.28065
0.0,127,50.575963
1.0,173,53.920995
0.0,125,56.136625
0.0,127,58.428972
3.0,252,63.634058
0.0,125,65.945882
2.0,218,70.149535
4.0,302,76.274513
1.0,174,79.685668
0.0,129,82.105515
0.0,125,84.500556
2.0,225,88.998621
5.0,348,95.950058
2.0,200,100.117137
4.0,298,106.094172
0.0,127,108.420414
3.0,250,113.216645
0.0,127,115.525957
5.0,350,122.493011
3.0,248,127.259547
9.0,404,135.527866
0.0,129,137.972561
0.0,129,140.448937
3.0,248,145.369025
0.0,127,147.728562
0.0,129,150.143129
2.0,190,153.740127
0.0,129,156.15817
0.0,129,158.450237
5.0,329,164.882828
0.0,129,167.373355
0.0,129,169.780543
9.0,402,178.232661
0.0,125,180.481943
2.0,202,184.342341
0.0,127,186.63499
2.0,202,190.623446
4.0,297,196.864866
2.0,204,200.955736
2.0,200,204.722054
10.0,451,213.781769
9.0,384,221.830755
2.0,198,225.724185
1.0,155,228.671904
4.0,301,234.447092
2.0,202,238.267211
13.0,459,247.348386
3.0,250,252.197044
3.0,252,257.031406
0.0,127,259.258111
0.0,127,261.470503
1.0,178,264.834577
4.0,301,270.724114
3.0,252,275.577176
1.0,177,279.096007
2.0,181,282.790673
2.0,225,287.388305
2.0,185,291.150146
3.0,250,296.540635
3.0,216,301.335388
4.0,306,307.348099
0.0,129,309.647164
0.0,127,311.976556
5.0,347,318.997635
1.0,178,322.553361
0.0,127,325.089153
7.0,427,333.701409
0.0,129,336.047589
5.0,350,343.120865
7.0,425,351.493334
3.0,231,356.097082
12.0,302,361.912002
7.0,419,370.058729
5.0,350,376.926278
3.0,257,381.822738
10.0,451,390.662482
5.0,350,397.475564
5.0,313,403.526255
10.0,433,412.009874
3.0,229,416.223432
8.0,298,421.941267
7.0,410,429.825088
10.0,572,441.036932
10.0,531,451.311074
13.0,525,461.395945
10.0,454,470.277011
6.0,383,477.537837
12.0,662,490.388885
6.0,341,496.95153
3.0,232,501.718935
10.0,435,510.523197
12.0,321,516.723871
8.0,492,526.30566
13.0,335,533.41415
5.0,337,540.422176
16.0,469,550.048573
20.0,687,564.665458
6.0,348,571.317194
8.0,501,580.836732
14.0,551,591.513147
11.0,583,602.791615
10.0,494,612.399641
16.0,625,624.943301
11.0,557,635.811399
10.0,480,644.972859
14.0,381,652.203347
19.0,764,666.873071
10.0,542,677.247487
9.0,473,686.229864
21.0,610,697.994297
16.0,623,709.961017
10.0,530,720.127212
13.0,487,729.55977
13.0,521,739.753468
19.0,793,755.1855
14.0,564,766.077557
19.0,542,776.484073
13.0,657,789.138755
16.0,469,798.149644
9.0,466,807.149256
15.0,662,819.982319
4.0,321,826.080141
13.0,500,835.745791
15.0,696,849.106332
14.0,387,856.521162
10.0,380,863.657463
13.0,581,874.769737
24.0,834,890.87475
23.0,912,908.355766
28.0,812,923.941773
11.0,414,931.834512
24.0,760,946.560439
9.0,480,955.798021
34.0,859,972.545786
24.0,805,988.125067
13.0,515,997.953918
23.0,968,1016.738943
33.0,1131,1038.929777
24.0,594,1050.358019
18.0,836,1066.399033
42.0,1019,1086.018543
12.0,559,1096.560753
26.0,732,1110.807948
18.0,684,1124.054137
35.0,1014,1143.634026
21.0,629,1155.802628
7.0,363,1162.599331
31.0,833,1178.659168
28.0,727,1192.530585
15.0,571,1203.360765
43.0,835,1219.272698
15.0,585,1230.385751
16.0,606,1241.914611
31.0,985,1260.7055
22.0,603,1272.144618
26.0,794,1287.280606
10.0,530,1297.33363
30.0,1033,1317.144699
24.0,672,1329.939842
8.0,403,1337.673391
22.0,791,1352.821751
30.0,839,1368.792685
40.0,1067,1389.173708
25.0,1008,1408.401577
54.0,1302,1433.313918
30.0,987,1452.114099
16.0,685,1465.129925
16.0,448,1473.569287
10.0,353,1480.274456
32.0,981,1499.290124
40.0,722,1513.054386
29.0,830,1528.863935
24.0,889,1545.852058
32.0,910,1563.309546
36.0,1104,1584.398422
23.0,726,1598.168006
38.0,1003,1617.473073
52.0,1163,1639.682493
55.0,1136,1661.482144
15.0,650,1673.803162
47.0,1174,1696.286253
34.0,1080,1716.951274
48.0,1322,1742.264006
25.0,768,1756.788326
33.0,1008,1776.014052
62.0,1194,1798.801035
30.0,932,1816.51226
37.0,1105,1837.696209
38.0,959,1856.022361
60.0,1471,1884.106203
57.0,1200,1906.969482
86.0,1349,1932.789431
41.0,1145,1954.735922
0.0,129,1957.231934
0.0,129,1959.710503
0.0,129,1962.233751
0.0,129,1964.697653
0.0,127,1967.13673
14.0,586,1978.528455
32.0,1089,1999.419798
98.0,1702,2031.951857
41.0,944,2049.927882
35.0,998,2068.954365
46.0,1004,2088.133324
28.0,801,2103.372786
40.0,949,2121.420788
27.0,854,2137.589343
61.0,1070,2157.993887
31.0,1030,2177.821062
28.0,893,2194.865135
35.0,699,2208.097624
23.0,548,2218.481409
30.0,1036,2238.308096
30.0,846,2254.402003
19.0,830,2270.130968
52.0,1212,2293.348097
18.0,638,2305.368138
52.0,1003,2324.405867
42.0,1091,2345.095876
29.0,841,2361.241993
62.0,1417,2388.611005
25.0,931,2406.43369
24.0,799,2421.579003
70.0,1532,2450.98438
44.0,1256,2474.893027
55.0,1103,2495.860574
42.0,1184,2518.379898
39.0,1094,2539.234544
37.0,1146,2561.082378
51.0,1234,2584.480556
68.0,1118,2605.735147
45.0,1014,2625.030748
71.0,1606,2655.68483
34.0,787,2670.623775
37.0,891,2687.724407
60.0,916,2705.158572
46.0,837,2720.997812
44.0,1150,2742.988449
45.0,911,2760.275499
36.0,832,2775.973704
61.0,1245,2799.660219
85.0,1351,2825.273851
51.0,1083,2845.878807
84.0,1497,2874.397912
41.0,1152,2896.239461
59.0,1381,2922.52064
18.0,650,2934.701366
70.0,1399,2961.298539
60.0,1083,2982.070307
49.0,1149,3004.585691
54.0,1352,3030.41387
61.0,1259,3054.598527
56.0,1262,3078.659942
103.0,1495,3107.295108
59.0,1458,3135.152239
131.0,1604,3165.885603
78.0,1595,3196.266929
76.0,1294,3220.958325
46.0,1079,3241.44325
103.0,1484,3269.706632
77.0,1404,3296.437525
106.0,1501,3325.014484
219.0,1299,3349.821505
204.0,1820,3384.39212
45.0,1043,3404.244742
2.0,200,3408.172943
0.0,129,3410.589794
1.0,173,3414.027265
0.0,129,3416.374483
4.0,321,3422.558316
157.0,1893,3458.813213
89.0,1604,3489.44595
126.0,1162,3511.387512
44.0,867,3527.818302
162.0,1899,3564.01015
55.0,1085,3584.613466
115.0,1446,3612.354086
218.0,1755,3645.716863
4.0,263,3650.867875
1.0,178,3654.426893
2.0,182,3657.801373
11.0,560,3668.609816
76.0,1397,3695.102592
125.0,1479,3723.215492
148.0,1701,3755.55814
77.0,1442,3782.963934
55.0,1203,3805.866951
41.0,894,3822.785141
70.0,1308,3847.737257
132.0,1726,3880.587718
13.0,595,3891.753278
22.0,810,3907.132492
66.0,1440,3934.436264
132.0,1409,3961.172257
12.0,555,3972.113169
9.0,404,3980.242758
43.0,1031,4000.164942
43.0,1069,4020.416074
143.0,1335,4045.738403
268.0,1422,4072.629905
77.0,1266,4096.666212
253.0,1817,4131.177521
233.0,1444,4158.569996
109.0,1520,4187.42741
165.0,1270,4211.477374
57.0,1204,4234.289018
147.0,1252,4257.860146
113.0,1653,4289.275147
42.0,860,4305.532142
329.0,1695,4337.861413
40.0,825,4353.386724
142.0,1661,4384.84942
110.0,1637,4415.918318
61.0,1393,4442.443426
82.0,865,4458.710429
80.0,1469,4486.625567
159.0,1607,4517.145452
101.0,1125,4538.587399
42.0,884,4555.321243
1.0,175,4558.666827
3.0,255,4563.555114
71.0,1173,4586.261966
131.0,1518,4615.362189
137.0,1047,4635.234579
104.0,1276,4659.451336
225.0,2518,4707.369417
161.0,1252,4730.957188
297.0,1645,4762.185741
205.0,1403,4788.719119
203.0,1589,4818.832823
123.0,1480,4846.82314
