#{"t_start": 1617137074.4563863, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
1.0,173,4.658386
3.0,227,8.564413
0.0,127,10.728425
4.0,300,16.660917
3.0,251,21.172423
0.0,129,23.607461
0.0,125,25.820576
0.0,129,28.124897
1.0,175,31.372415
0.0,127,33.629203
1.0,170,36.974218
0.0,125,39.296526
1.0,176,43.076834
1.0,153,46.53639
2.0,222,51.185588
3.0,248,56.026746
2.0,198,59.770751
5.0,349,66.93172
0.0,129,69.347241
1.0,155,72.51696
0.0,127,74.832664
0.0,125,77.091161
4.0,316,83.538754
1.0,156,86.613722
2.0,223,91.041329
4.0,321,97.52301
0.0,127,100.000753
3.0,270,105.437252
2.0,202,109.278036
0.0,129,111.549349
6.0,380,119.234922
0.0,127,121.510754
0.0,125,123.697725
2.0,202,127.641474
1.0,173,130.969262
0.0,129,133.38708
6.0,401,141.595282
0.0,125,143.935551
0.0,129,146.393704
0.0,127,148.832982
9.0,404,156.785328
3.0,272,162.03099
2.0,202,165.925493
0.0,127,168.349185
0.0,127,170.738
0.0,125,173.079266
0.0,129,175.626384
0.0,127,178.136106
3.0,248,182.951906
4.0,298,188.795604
1.0,176,192.191139
0.0,125,194.707832
4.0,299,200.899376
0.0,127,203.226798
2.0,202,207.061803
1.0,173,210.322075
3.0,248,215.42863
10.0,433,224.343158
0.0,127,226.757585
3.0,232,231.153733
0.0,129,233.43546
2.0,198,237.175543
2.0,204,241.129827
2.0,200,244.887495
2.0,200,248.659247
5.0,350,255.558589
5.0,349,262.226272
1.0,155,265.122888
5.0,351,272.000041
2.0,204,275.93123
3.0,232,280.694449
1.0,175,284.187424
0.0,127,286.604558
3.0,236,291.538167
3.0,216,296.138815
0.0,127,298.589992
4.0,301,305.080505
5.0,352,311.998639
2.0,204,315.910413
0.0,125,318.250154
1.0,177,321.835149
4.0,301,328.137821
3.0,251,332.939158
0.0,129,335.311227
5.0,324,341.874846
0.0,127,344.193117
3.0,231,348.567677
0.0,127,350.900642
4.0,260,356.044593
1.0,157,358.974972
1.0,155,361.815964
9.0,543,372.567951
9.0,404,380.426043
3.0,216,384.478185
5.0,316,390.649878
4.0,263,395.72928
7.0,368,402.814798
3.0,252,407.643325
6.0,356,414.502697
7.0,248,419.211275
11.0,475,428.317648
7.0,447,437.158217
11.0,544,447.650206
6.0,374,454.774621
11.0,550,465.458921
0.0,129,467.799649
4.0,262,472.741746
10.0,500,482.336903
10.0,527,492.520914
7.0,385,500.024658
8.0,402,508.466985
13.0,540,519.088594
7.0,405,527.039888
10.0,429,535.932847
8.0,458,545.575036
4.0,248,550.547014
7.0,414,559.111474
7.0,425,567.895474
13.0,352,574.55123
9.0,489,583.911149
12.0,321,590.020132
15.0,597,601.497099
13.0,548,612.200368
10.0,531,622.880841
11.0,271,628.063579
17.0,362,634.999597
13.0,567,645.938644
16.0,410,653.681773
16.0,753,668.111291
16.0,628,680.178832
30.0,725,694.133999
23.0,769,708.98406
15.0,616,720.953036
15.0,433,729.279743
17.0,367,736.361335
13.0,646,748.924459
21.0,527,759.071034
20.0,577,770.206357
17.0,575,781.281424
22.0,403,788.901295
28.0,861,805.720129
17.0,760,820.5336
24.0,631,832.797463
14.0,549,843.380251
15.0,444,851.836693
16.0,753,866.307947
13.0,544,876.749139
12.0,551,887.203583
15.0,546,897.614671
19.0,646,909.956232
11.0,389,917.22955
17.0,685,930.403873
13.0,549,940.786623
12.0,522,951.080413
10.0,501,960.702428
24.0,687,974.085826
23.0,791,989.327593
24.0,920,1007.105136
14.0,654,1019.733098
25.0,656,1032.273853
15.0,593,1043.976003
36.0,1041,1064.05829
15.0,715,1077.749719
17.0,651,1090.171407
30.0,1032,1110.208668
25.0,631,1122.397837
23.0,810,1137.982264
22.0,777,1153.009892
13.0,572,1163.951104
22.0,894,1181.137173
42.0,1143,1203.110669
44.0,1145,1225.085475
40.0,948,1243.32759
58.0,1172,1265.686968
11.0,498,1275.169967
32.0,866,1291.62502
16.0,674,1304.431939
35.0,1145,1326.459439
20.0,573,1337.462509
36.0,1046,1357.574472
48.0,1213,1380.810409
16.0,691,1393.894273
19.0,603,1405.256152
21.0,710,1418.770224
13.0,538,1428.875193
24.0,773,1443.608564
38.0,723,1457.319864
45.0,1049,1477.37762
2.0,219,1481.58808
13.0,347,1488.237963
25.0,838,1504.210783
36.0,1066,1524.623428
34.0,653,1536.973218
