#{"t_start": 1617137074.5707407, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
2.0,185,4.820486
3.0,250,9.07707
1.0,175,12.257814
1.0,173,15.697927
0.0,123,17.800641
0.0,129,19.917557
1.0,175,23.236899
2.0,203,26.980235
8.0,354,33.956628
0.0,125,36.207406
0.0,129,38.690583
1.0,155,41.929999
0.0,129,44.703515
1.0,155,48.324684
0.0,127,50.683046
0.0,125,52.956927
2.0,206,56.814123
1.0,178,60.245797
2.0,200,64.333617
4.0,299,70.290138
0.0,125,72.825881
0.0,129,75.09619
0.0,127,77.421225
0.0,129,79.943061
2.0,220,84.259204
4.0,299,90.349541
0.0,127,92.70326
2.0,205,96.834507
0.0,125,99.15323
3.0,250,104.227956
5.0,350,111.075544
0.0,129,113.540513
2.0,220,117.716575
0.0,129,120.214123
0.0,127,122.45646
5.0,350,129.397605
0.0,127,131.758461
0.0,127,134.129639
10.0,433,143.138638
2.0,202,147.031857
0.0,125,149.40937
3.0,252,154.29532
1.0,155,157.134668
1.0,171,160.2962
0.0,127,162.614109
2.0,202,166.608079
2.0,202,170.578151
0.0,127,172.936277
5.0,350,180.170867
2.0,202,184.081424
0.0,127,186.377539
0.0,129,188.750288
5.0,350,196.073122
0.0,125,198.611551
0.0,127,200.956288
0.0,129,203.358346
0.0,129,205.639367
0.0,127,207.935487
2.0,202,211.860478
0.0,129,214.329638
5.0,347,221.544906
3.0,230,226.13337
10.0,452,234.965724
0.0,127,237.267894
1.0,176,240.660854
2.0,202,244.431136
1.0,173,247.677249
2.0,202,251.577891
5.0,326,257.902549
4.0,297,263.569943
2.0,183,267.025691
1.0,157,269.909484
3.0,232,274.417634
4.0,247,279.294942
2.0,204,283.537459
1.0,175,287.010184
1.0,155,290.2557
2.0,200,294.388326
3.0,236,299.44277
3.0,252,304.733389
0.0,125,306.893171
4.0,300,312.835252
4.0,324,319.330276
3.0,230,324.059114
1.0,155,327.183118
5.0,350,334.140228
3.0,214,338.365661
5.0,296,344.205589
7.0,248,348.904329
5.0,316,355.139618
5.0,350,362.080158
10.0,450,370.824579
8.0,281,376.347334
6.0,372,383.439559
