#{"t_start": 1616929826.379225, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,129,4.22595
0.0,127,6.302266
4.0,298,11.688435
1.0,175,14.703527
5.0,350,21.089888
1.0,150,23.781713
0.0,129,25.987798
3.0,237,30.372836
1.0,153,33.043037
3.0,230,37.178357
3.0,249,41.781023
6.0,398,49.564143
0.0,129,52.139686
0.0,127,54.653831
0.0,125,56.918602
0.0,123,59.108973
3.0,249,63.781294
4.0,297,69.464705
0.0,127,71.685138
0.0,129,73.997185
0.0,129,76.200179
0.0,129,78.493488
0.0,129,80.852911
5.0,329,87.159941
0.0,129,89.510349
0.0,127,91.797056
3.0,271,96.981367
1.0,175,100.307458
0.0,125,102.678003
1.0,153,105.765596
8.0,354,112.649876
0.0,127,114.914351
0.0,129,117.294244
1.0,171,120.494063
2.0,204,124.359358
0.0,127,126.638324
1.0,175,129.877918
0.0,125,132.351685
0.0,127,134.651413
3.0,230,138.989382
0.0,127,141.239317
0.0,125,143.497523
0.0,125,145.842015
0.0,129,148.052066
1.0,155,150.877386
0.0,127,153.132144
0.0,127,155.499664
0.0,127,157.778889
2.0,202,161.659091
2.0,218,165.737715
9.0,404,173.422023
0.0,129,175.797744
0.0,127,178.033413
0.0,125,180.266617
3.0,248,185.057982
3.0,246,189.736017
1.0,172,192.935854
0.0,127,195.22754
3.0,250,199.924325
1.0,172,203.16183
1.0,169,206.323108
3.0,248,211.050841
1.0,157,213.932732
5.0,316,220.097875
1.0,155,222.973893
1.0,156,225.868065
0.0,127,228.179909
0.0,125,230.45522
2.0,202,234.247666
6.0,398,241.945256
0.0,127,244.279229
0.0,127,246.570353
4.0,297,252.314386
1.0,175,255.699575
1.0,157,258.554402
0.0,129,260.88835
2.0,187,264.495561
0.0,127,266.724406
2.0,202,270.565427
0.0,127,272.768087
2.0,203,276.632466
0.0,129,278.994298
0.0,129,281.355268
2.0,207,285.301714
2.0,202,289.149052
2.0,190,292.738881
2.0,201,296.520953
1.0,175,299.791829
0.0,127,302.148885
2.0,224,306.429048
0.0,127,308.758198
1.0,153,311.64923
2.0,204,315.533004
3.0,273,320.670179
0.0,129,322.957704
1.0,173,326.26209
2.0,185,329.780492
0.0,125,332.046564
0.0,129,334.486582
0.0,125,336.771768
1.0,156,339.65085
1.0,157,342.689513
0.0,123,344.898474
0.0,129,347.392148
0.0,127,349.659236
1.0,173,352.833392
2.0,201,356.687669
0.0,127,358.983982
0.0,125,361.318511
1.0,175,364.591801
0.0,125,366.94656
3.0,210,371.006928
0.0,127,373.315122
0.0,129,375.740714
4.0,322,382.170673
2.0,183,385.615234
1.0,169,388.76981
1.0,173,392.009826
2.0,220,396.275134
0.0,127,398.538069
0.0,129,400.801104
0.0,129,403.161106
0.0,129,405.494186
0.0,125,407.78427
5.0,350,414.630609
5.0,346,421.398824
1.0,157,424.394291
1.0,177,427.721066
0.0,127,430.058749
2.0,198,433.877474
0.0,127,436.155369
1.0,173,439.458626
0.0,129,441.711601
0.0,127,444.094141
2.0,221,448.310905
4.0,273,453.596015
1.0,171,456.930879
2.0,200,460.732472
2.0,188,464.276068
3.0,250,469.110351
2.0,184,472.591111
0.0,129,475.000137
1.0,155,477.858766
2.0,198,481.660116
8.0,352,488.645602
1.0,154,491.510756
0.0,129,493.904143
2.0,183,497.433376
0.0,125,499.750564
3.0,277,505.264878
5.0,307,511.278867
0.0,129,513.646016
0.0,125,515.894208
0.0,129,518.204185
3.0,252,523.074925
1.0,177,526.446621
2.0,222,530.611012
2.0,202,534.470845
1.0,157,537.324102
0.0,127,539.734332
3.0,228,544.104411
0.0,127,546.415741
1.0,157,549.442332
5.0,328,555.791124
1.0,172,559.02235
0.0,125,561.286098
0.0,127,563.604157
0.0,127,565.993778
0.0,125,568.281111
3.0,250,573.014302
1.0,175,576.298883
1.0,175,579.69718
0.0,125,582.034288
3.0,217,586.201588
