#{"t_start": 1617137074.0978396, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
4.0,300,7.322654
1.0,157,9.971168
0.0,125,12.173887
0.0,125,14.647756
0.0,127,16.873414
8.0,353,23.496793
0.0,129,25.844654
0.0,129,28.129919
10.0,436,36.8022
0.0,127,39.187711
7.0,450,49.61696
2.0,186,53.23089
0.0,127,55.49364
0.0,127,57.7622
0.0,127,60.022016
1.0,153,63.243695
0.0,125,65.56018
0.0,129,67.898857
2.0,200,71.974366
2.0,204,75.90439
0.0,129,78.246869
1.0,174,81.658904
5.0,350,88.819539
0.0,125,91.20286
1.0,173,94.502964
3.0,250,99.586981
0.0,129,102.026389
0.0,129,104.531392
0.0,129,106.994193
4.0,299,112.756579
0.0,127,115.062628
0.0,129,117.444055
0.0,129,119.910548
0.0,127,122.182003
0.0,127,124.412981
0.0,125,126.711151
0.0,129,129.158963
0.0,127,131.520016
3.0,271,136.990044
6.0,378,144.670607
0.0,127,147.088067
0.0,127,149.528478
5.0,350,156.417418
0.0,125,158.664959
0.0,129,160.935245
0.0,129,163.278861
1.0,173,166.629089
0.0,125,169.03076
0.0,129,171.430804
0.0,127,173.866442
0.0,125,176.285218
0.0,129,178.834627
0.0,127,181.123284
2.0,198,184.928777
0.0,129,187.257629
1.0,155,190.246497
0.0,127,192.587245
2.0,202,196.811501
0.0,129,199.432388
0.0,125,201.720008
0.0,125,204.007251
1.0,173,207.224926
0.0,129,209.530138
0.0,129,211.921324
5.0,352,219.206955
0.0,129,221.697049
1.0,178,225.218739
0.0,129,227.66323
5.0,346,234.320644
0.0,127,236.598094
1.0,153,239.517217
1.0,157,242.440297
1.0,175,245.6971
1.0,175,248.935426
0.0,123,251.226721
7.0,425,259.528308
10.0,449,268.326207
1.0,159,271.25455
1.0,157,274.209219
2.0,183,277.683627
2.0,183,281.535307
0.0,127,283.960402
1.0,175,287.43135
0.0,129,290.082261
2.0,200,294.025022
1.0,157,297.422676
4.0,282,303.562039
5.0,350,310.420623
2.0,205,314.441115
1.0,155,317.302399
3.0,237,322.072916
0.0,127,324.584945
6.0,393,332.636387
5.0,325,339.157834
4.0,262,344.317399
13.0,457,353.277964
8.0,464,362.602685
2.0,186,366.042669
9.0,538,376.692137
7.0,388,384.186562
11.0,409,392.193645
6.0,372,399.432396
3.0,218,403.622523
4.0,281,409.007916
5.0,311,414.922233
9.0,506,424.782179
8.0,297,430.452146
6.0,344,437.082128
5.0,293,442.62943
5.0,310,448.537446
8.0,408,456.30489
3.0,234,460.653381
3.0,277,465.981706
5.0,327,472.240816
12.0,447,480.816814
4.0,298,486.384485
11.0,472,495.56545
15.0,450,504.892078
18.0,580,516.417376
12.0,585,528.037566
13.0,578,540.346321
13.0,665,554.224518
7.0,435,563.279445
24.0,723,577.554552
8.0,497,587.129756
10.0,514,596.957103
7.0,379,604.183979
16.0,541,614.760418
9.0,490,624.573246
8.0,437,633.078468
8.0,426,641.236121
21.0,708,654.901389
17.0,377,662.009655
23.0,774,676.854136
13.0,525,686.940903
16.0,589,698.238667
16.0,576,709.275019
10.0,495,718.791361
13.0,372,725.930493
12.0,620,738.007383
13.0,489,747.485066
22.0,807,763.17454
14.0,680,776.308338
9.0,490,785.714037
11.0,620,797.606231
15.0,588,809.090166
18.0,562,819.936723
6.0,364,826.880696
18.0,532,837.162211
11.0,452,845.783201
8.0,280,851.036146
15.0,687,864.255237
14.0,613,875.985934
10.0,554,886.579019
10.0,456,895.189798
22.0,613,906.912039
21.0,781,921.830116
15.0,678,934.921987
18.0,682,948.138316
16.0,452,956.829928
16.0,593,968.329111
15.0,686,981.609249
23.0,530,991.774216
35.0,1046,1012.037792
20.0,733,1026.128081
21.0,577,1037.367846
18.0,591,1048.801266
32.0,978,1067.634565
22.0,769,1082.315919
26.0,1017,1102.000303
25.0,853,1118.612549
28.0,880,1135.571862
13.0,617,1147.469837
27.0,846,1163.806717
28.0,778,1178.688449
20.0,702,1192.081148
19.0,309,1197.872774
21.0,649,1210.228596
39.0,1070,1230.740869
35.0,1114,1252.061902
14.0,676,1264.913147
20.0,785,1279.9049
29.0,793,1295.035386
33.0,1054,1315.21879
8.0,461,1323.958882
20.0,867,1340.643932
27.0,818,1356.335088
27.0,786,1371.241667
42.0,1028,1390.883676
24.0,700,1404.169016
70.0,1567,1434.236689
38.0,1114,1455.503813
49.0,1186,1478.230725
3.0,251,1483.139647
9.0,446,1491.655512
24.0,874,1508.327864
38.0,929,1526.090143
50.0,1177,1548.650121
24.0,678,1561.553066
40.0,1219,1584.886403
41.0,1024,1604.499262
30.0,941,1622.47043
60.0,1340,1648.226632
59.0,1242,1672.029084
43.0,1067,1692.326363
28.0,945,1710.474647
53.0,1202,1733.438938
39.0,1224,1756.780691
25.0,787,1771.800458
31.0,739,1785.788899
61.0,1434,1813.212651
49.0,1318,1838.488196
42.0,966,1856.965219
54.0,1326,1882.197104
52.0,938,1900.07076
32.0,974,1918.588375
54.0,1299,1943.483876
21.0,773,1958.579241
0.0,129,1961.086834
0.0,129,1963.535191
0.0,129,1966.007593
0.0,129,1968.520908
11.0,516,1978.400285
39.0,976,1997.197522
63.0,1568,2027.072015
52.0,1206,2050.169961
26.0,555,2060.647701
45.0,1119,2082.028794
30.0,848,2098.111087
20.0,713,2111.639653
61.0,1109,2132.761718
30.0,786,2147.732482
24.0,897,2164.926387
22.0,855,2181.173641
43.0,1043,2201.14009
39.0,1151,2223.160219
26.0,937,2241.092181
53.0,1022,2260.498125
19.0,597,2271.943988
16.0,702,2285.132233
28.0,778,2299.94178
80.0,1569,2329.798551
45.0,940,2347.693462
31.0,515,2357.315922
69.0,1037,2377.3581
80.0,1330,2402.977906
22.0,668,2415.710831
51.0,1293,2440.366222
243.0,1470,2468.451215
39.0,992,2487.319096
66.0,1423,2514.488787
38.0,760,2528.861877
32.0,940,2546.770758
35.0,982,2565.385044
108.0,1576,2595.379056
66.0,1284,2619.852413
39.0,1163,2641.933428
47.0,1069,2662.308159
24.0,699,2675.575662
7.0,384,2682.754295
47.0,1348,2708.628766
11.0,553,2719.00689
83.0,1276,2743.42275
83.0,1404,2770.188651
32.0,894,2787.128878
69.0,1325,2812.312553
40.0,897,2829.229088
89.0,1509,2857.990631
70.0,1430,2885.165114
47.0,937,2902.937161
52.0,1180,2925.304282
43.0,1181,2947.733704
58.0,1277,2971.977622
60.0,1234,2996.210411
82.0,1376,3022.608048
54.0,887,3039.44255
13.0,409,3047.237807
33.0,726,3060.942562
81.0,1317,3086.081746
86.0,1399,3112.822863
60.0,1104,3133.890448
107.0,1658,3165.687456
64.0,1159,3187.726961
82.0,1500,3216.281812
45.0,1142,3238.019683
79.0,1494,3266.533787
131.0,1798,3300.814773
234.0,1491,3329.207369
44.0,1093,3349.977442
159.0,1725,3382.786693
38.0,985,3401.400186
5.0,270,3406.619552
0.0,127,3409.046981
0.0,129,3411.393526
1.0,153,3414.357574
0.0,125,3416.66737
29.0,846,3433.020224
63.0,1036,3452.736069
99.0,1362,3478.647641
74.0,1295,3503.290697
111.0,1340,3528.753839
49.0,1034,3548.404446
90.0,1513,3577.152923
30.0,848,3593.180042
70.0,1254,3617.200442
335.0,1740,3650.601828
1.0,155,3653.623222
6.0,346,3660.41481
93.0,1687,3692.643211
23.0,698,3705.792562
47.0,920,3723.195583
98.0,1624,3754.008711
75.0,1408,3780.865211
194.0,1223,3804.130104
93.0,1797,3838.360544
30.0,870,3854.923413
169.0,1417,3881.841657
13.0,581,3892.799593
23.0,693,3905.839709
116.0,1444,3933.247848
305.0,1369,3959.179233
25.0,776,3974.622015
9.0,404,3982.737822
0.0,129,3985.141911
17.0,628,3996.928793
34.0,885,4013.674771
127.0,1397,4040.15412
335.0,1630,4071.054346
283.0,1884,4106.857091
89.0,1049,4126.708055
89.0,1030,4146.170215
216.0,2033,4184.856371
83.0,1474,4212.832402
181.0,1165,4234.892816
224.0,1736,4267.81952
201.0,1885,4303.632209
73.0,1137,4325.152228
256.0,1787,4359.216581
112.0,1464,4386.943383
65.0,1478,4414.92793
257.0,1302,4439.655595
49.0,1228,4462.930444
183.0,1240,4486.447386
138.0,1621,4517.247948
130.0,1502,4545.858068
18.0,556,4556.442336
1.0,175,4559.771971
3.0,237,4564.298546
19.0,801,4579.632606
89.0,1293,4604.610443
54.0,1171,4626.825554
172.0,1792,4661.025247
137.0,1561,4690.551618
116.0,1566,4720.18131
209.0,2096,4759.968915
150.0,1610,4790.518063
32.0,887,4807.192768
176.0,1272,4831.225192
291.0,1770,4864.817187
