#{"t_start": 1617137074.1059408, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,127,4.245777
0.0,127,6.264341
0.0,129,8.313768
1.0,157,11.05586
1.0,157,14.06122
0.0,129,16.457213
4.0,302,22.017415
0.0,129,24.432793
4.0,289,29.917159
2.0,200,33.602548
3.0,248,38.553746
1.0,173,42.106084
2.0,202,46.809408
3.0,248,52.025964
3.0,255,56.926083
1.0,155,59.791983
0.0,127,62.413313
1.0,173,65.745632
1.0,176,69.098757
0.0,125,71.546199
10.0,430,80.282105
0.0,127,82.675937
1.0,172,86.06491
3.0,268,91.515863
3.0,275,96.914663
1.0,173,100.411002
1.0,173,103.822678
0.0,127,106.159978
0.0,127,108.513427
2.0,202,112.307905
0.0,129,114.681432
0.0,129,117.009425
4.0,297,122.895425
0.0,127,125.140889
5.0,352,132.249103
1.0,153,135.178774
0.0,129,137.723926
0.0,129,140.083602
0.0,129,142.538453
7.0,424,151.22798
1.0,176,154.48608
8.0,372,161.76582
0.0,129,164.092355
0.0,127,166.465098
0.0,125,168.874126
0.0,127,171.251691
3.0,230,175.857389
2.0,202,179.981164
8.0,475,189.527232
0.0,129,191.881341
1.0,173,195.414627
0.0,129,197.996344
1.0,156,201.047776
9.0,404,209.012887
0.0,129,211.375784
1.0,155,214.385375
1.0,155,217.443081
0.0,127,219.815661
0.0,125,222.296854
0.0,125,224.653517
9.0,421,232.966758
4.0,299,238.842556
2.0,205,242.771914
13.0,457,251.75012
0.0,127,254.111798
0.0,127,256.356965
3.0,252,261.102095
0.0,125,263.352362
1.0,173,266.591344
5.0,350,273.472862
1.0,155,276.34606
4.0,279,282.109587
2.0,205,286.26006
2.0,200,290.511008
3.0,232,295.383805
0.0,129,297.903643
2.0,187,302.062438
4.0,275,307.359664
1.0,155,310.275229
0.0,129,312.620445
3.0,253,317.637302
7.0,391,325.889688
3.0,218,330.252159
5.0,304,336.141798
8.0,427,344.842074
1.0,158,347.736443
7.0,428,356.303249
12.0,502,366.19139
4.0,284,371.659299
2.0,183,375.034313
1.0,157,377.994601
7.0,446,386.637167
3.0,228,391.047595
8.0,497,400.766069
12.0,493,410.466591
4.0,299,416.164107
2.0,208,420.073424
10.0,533,430.477562
13.0,316,436.528875
3.0,271,441.657629
2.0,206,445.49946
11.0,472,454.539715
9.0,519,464.576418
7.0,248,469.386982
10.0,430,477.551001
