#{"t_start": 1617137074.6203053, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
2.0,206,5.103869
2.0,220,8.861827
1.0,157,11.677812
3.0,250,16.633038
0.0,129,18.775303
2.0,225,22.975881
0.0,129,25.324625
4.0,301,31.142409
0.0,125,33.315495
1.0,173,36.672383
0.0,129,39.134334
0.0,125,41.725537
0.0,127,44.387492
0.0,129,47.372861
1.0,155,50.440902
2.0,202,54.331312
3.0,273,59.60903
0.0,127,62.199971
3.0,266,67.419294
1.0,173,70.848287
0.0,129,73.31621
1.0,170,76.519255
1.0,173,79.932521
0.0,129,82.368399
1.0,155,85.386793
0.0,129,87.766027
1.0,153,90.803966
2.0,203,94.647739
3.0,271,100.268422
0.0,129,102.775762
0.0,127,105.135088
0.0,127,107.481311
2.0,198,111.176954
4.0,297,116.984655
0.0,127,119.429404
5.0,350,126.222208
9.0,404,134.40852
0.0,129,136.971459
0.0,127,139.296553
7.0,427,147.994097
0.0,129,150.517077
3.0,230,154.879426
5.0,329,161.279591
0.0,129,163.60428
1.0,177,167.108
2.0,203,171.099016
0.0,125,173.42796
0.0,127,175.960552
5.0,350,183.00515
1.0,157,185.894937
5.0,350,192.971132
0.0,127,195.486042
0.0,129,198.146245
9.0,404,206.206159
4.0,301,212.058265
0.0,129,214.678695
5.0,350,221.945319
0.0,129,224.349802
5.0,350,231.187536
0.0,129,233.54294
3.0,230,237.935174
3.0,248,242.765089
1.0,175,246.021916
2.0,221,250.23534
0.0,127,252.617873
0.0,123,254.817026
5.0,347,261.385672
2.0,202,265.260403
3.0,272,270.510831
1.0,173,273.82567
2.0,185,277.312984
4.0,280,283.174987
4.0,300,289.562923
0.0,127,291.877007
1.0,173,295.636595
1.0,153,298.694351
2.0,182,302.685991
3.0,233,307.13008
1.0,176,310.430122
1.0,155,313.430326
4.0,281,318.984931
5.0,334,326.069349
1.0,176,329.46645
4.0,297,335.262787
4.0,276,340.847234
1.0,158,343.799171
11.0,501,353.644982
1.0,157,356.75459
6.0,379,364.08468
1.0,157,367.025348
2.0,185,370.439096
4.0,284,375.971555
7.0,407,383.842403
2.0,180,387.312486
4.0,261,392.272643
13.0,598,404.080748
5.0,350,410.853182
3.0,230,415.151262
6.0,325,421.385632
10.0,437,429.79023
17.0,654,442.636399
5.0,310,448.537396
8.0,447,457.181435
4.0,261,461.993778
13.0,476,471.285269
15.0,420,479.349572
8.0,458,488.092193
3.0,234,492.519817
7.0,387,500.153245
13.0,603,512.498899
13.0,453,521.334985
8.0,420,530.163993
8.0,456,539.492043
7.0,450,548.588417
10.0,475,558.594676
11.0,603,570.901857
4.0,281,576.189836
14.0,440,584.594438
11.0,440,593.058325
8.0,447,601.596297
12.0,438,610.114441
13.0,487,619.593999
16.0,651,632.670346
21.0,765,647.438609
16.0,593,658.823318
25.0,754,673.258651
19.0,473,682.325122
10.0,551,692.840124
9.0,465,701.700301
21.0,419,709.705402
12.0,570,720.676936
12.0,563,731.628345
13.0,519,741.801886
27.0,848,758.261961
12.0,447,766.81337
16.0,627,778.916087
20.0,655,791.592083
13.0,356,798.394722
14.0,525,808.518397
11.0,529,818.643041
11.0,521,828.801109
18.0,648,841.337189
21.0,759,855.991039
15.0,589,867.282364
22.0,766,881.985353
21.0,523,891.940577
22.0,892,909.074234
20.0,679,922.005974
23.0,839,938.142037
20.0,640,950.748723
16.0,725,964.828344
22.0,795,980.279231
19.0,648,992.740109
18.0,671,1005.655629
25.0,501,1015.168748
13.0,608,1026.848302
11.0,544,1037.494057
25.0,754,1052.083313
31.0,968,1070.695281
17.0,652,1083.106639
25.0,731,1097.144264
26.0,824,1113.123662
20.0,761,1127.815554
13.0,439,1136.160362
13.0,586,1147.474101
20.0,812,1163.127739
27.0,775,1177.963185
17.0,727,1191.865918
9.0,331,1198.103008
34.0,1050,1218.125433
16.0,438,1226.408431
19.0,729,1240.365517
24.0,697,1253.53902
34.0,843,1269.654458
28.0,1039,1289.545372
19.0,856,1305.850672
23.0,505,1315.476024
26.0,759,1329.989343
33.0,858,1346.511271
29.0,857,1362.979967
24.0,588,1373.972819
41.0,1161,1396.233696
37.0,1015,1415.645507
28.0,909,1432.89063
50.0,1220,1456.246905
45.0,1208,1479.472356
14.0,489,1489.062176
36.0,1003,1508.275151
37.0,899,1525.39751
36.0,984,1544.161495
53.0,1197,1567.16546
35.0,977,1585.897892
48.0,1271,1610.174533
22.0,809,1625.696093
35.0,919,1643.238869
31.0,881,1660.083537
42.0,967,1678.542735
38.0,1105,1699.67741
39.0,1181,1722.266396
27.0,934,1740.033154
35.0,936,1757.854112
18.0,614,1769.453833
46.0,925,1787.069623
53.0,1286,1811.60884
39.0,737,1825.724026
19.0,810,1841.057984
12.0,428,1849.140112
17.0,760,1863.5199
39.0,1050,1883.511155
88.0,1591,1913.936146
70.0,1453,1941.805824
42.0,678,1954.687139
9.0,404,1963.077244
0.0,127,1965.584343
20.0,763,1980.570324
48.0,1196,2003.506135
58.0,1215,2026.577772
28.0,768,2041.165281
17.0,666,2053.847553
36.0,1017,2073.191048
42.0,1012,2092.515466
57.0,1305,2117.476599
53.0,1257,2141.431561
38.0,1026,2160.992141
46.0,1264,2185.36402
54.0,1253,2209.325666
53.0,1069,2229.751185
16.0,553,2240.334089
49.0,1083,2260.901236
12.0,519,2270.717427
45.0,1181,2293.296569
35.0,963,2311.595567
60.0,1149,2333.42601
21.0,891,2350.319687
81.0,1365,2376.642547
56.0,1335,2402.327243
33.0,1085,2423.111531
37.0,1152,2445.133546
83.0,1157,2467.135894
36.0,942,2484.979557
41.0,1180,2507.553247
52.0,1349,2533.306
91.0,1452,2560.999173
58.0,1336,2586.380907
