#{"t_start": 1617137074.6751158, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
2.0,218,5.296775
0.0,127,7.3105
2.0,186,10.626489
0.0,127,12.907286
3.0,252,17.749161
2.0,221,21.77964
0.0,127,24.098669
2.0,202,27.882641
0.0,127,30.182282
1.0,168,33.233079
2.0,202,37.252811
1.0,175,40.71118
1.0,174,44.633774
4.0,320,51.657919
6.0,358,58.631649
0.0,127,61.138772
0.0,127,63.572251
2.0,223,67.988699
1.0,170,71.365235
3.0,271,76.666925
0.0,129,79.16126
4.0,299,85.181497
2.0,224,89.595973
1.0,175,93.024032
1.0,176,96.512554
0.0,129,98.900586
2.0,198,102.933339
1.0,173,106.28131
0.0,129,108.620503
2.0,202,112.458556
0.0,125,114.748908
0.0,125,117.04374
0.0,125,119.46589
2.0,200,123.120874
0.0,129,125.44772
2.0,198,129.333599
2.0,202,133.335821
0.0,127,135.75448
5.0,350,142.880395
0.0,125,145.19249
2.0,202,149.164931
9.0,403,157.158044
2.0,198,160.827338
0.0,125,163.127676
11.0,477,172.969983
6.0,361,180.387183
0.0,129,182.777452
2.0,200,186.59994
5.0,352,193.717179
0.0,125,196.261881
0.0,127,198.827511
1.0,173,202.074481
3.0,248,206.84671
1.0,176,210.152484
7.0,426,218.972671
2.0,200,223.025144
1.0,157,226.067368
0.0,127,228.370668
0.0,129,230.667039
8.0,375,237.996114
1.0,157,240.96348
3.0,248,245.769029
2.0,224,250.002671
0.0,129,252.416436
5.0,349,259.120035
1.0,175,262.341864
2.0,229,266.745694
3.0,232,271.177482
0.0,127,273.46852
1.0,173,276.779293
1.0,155,279.931721
1.0,157,283.043805
3.0,250,288.258937
3.0,252,293.394105
0.0,129,296.138666
0.0,129,298.699646
2.0,201,303.053987
11.0,479,312.560553
2.0,206,316.553582
1.0,173,319.962333
0.0,125,322.385828
5.0,349,329.68101
1.0,155,332.516983
4.0,245,337.335357
8.0,471,346.817284
0.0,127,349.113541
7.0,248,353.877602
9.0,404,361.947379
4.0,296,367.628533
4.0,261,372.660668
5.0,295,378.364109
7.0,248,382.995104
3.0,218,387.231997
6.0,361,394.21061
5.0,363,401.225077
2.0,184,404.666764
2.0,186,408.138046
1.0,157,411.026189
5.0,331,417.346422
11.0,431,425.692155
7.0,369,432.832789
4.0,287,438.351652
10.0,400,446.002371
12.0,551,456.667805
5.0,314,462.5903
5.0,330,469.031077
15.0,525,479.113716
4.0,279,484.30804
9.0,537,494.687768
13.0,370,502.337397
14.0,562,513.578651
19.0,653,526.499811
10.0,451,536.026036
6.0,404,544.463188
6.0,356,551.838561
19.0,632,565.18667
13.0,350,571.841164
13.0,602,583.359715
9.0,503,593.063386
15.0,599,604.597316
10.0,513,614.678207
13.0,370,621.953477
8.0,464,631.104105
15.0,598,642.61813
24.0,727,656.725362
9.0,517,666.454829
15.0,684,679.642806
10.0,469,688.600392
10.0,470,697.515802
9.0,530,707.664249
9.0,478,716.900057
10.0,532,727.17694
12.0,323,733.389845
23.0,735,747.74167
20.0,764,762.568301
12.0,597,774.096954
16.0,708,787.745941
19.0,763,802.621688
18.0,815,818.408264
12.0,321,824.613962
10.0,507,834.362993
19.0,650,846.896293
12.0,524,856.936425
23.0,568,867.845387
8.0,423,875.860336
27.0,868,892.587517
17.0,522,902.458788
16.0,620,914.353612
22.0,752,928.692854
17.0,696,942.072098
17.0,642,954.665846
14.0,577,965.796224
16.0,489,975.272434
21.0,740,989.492258
23.0,799,1004.877248
22.0,689,1018.265625
30.0,916,1036.066305
18.0,598,1047.68457
29.0,827,1063.508639
19.0,833,1079.531532
29.0,1043,1099.662668
29.0,935,1117.848134
35.0,972,1136.631281
13.0,353,1143.233666
35.0,621,1155.248968
34.0,938,1173.347723
39.0,1225,1196.965803
21.0,727,1210.840547
40.0,1145,1232.802052
