#{"t_start": 1617137074.03523, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
2.0,198,3416.469227
0.0,127,3418.79104
3.0,230,3423.165474
63.0,1285,3447.70156
236.0,1061,3467.768835
74.0,934,3485.524708
76.0,1357,3511.24918
65.0,1125,3532.682056
314.0,1577,3562.653378
110.0,1506,3591.331418
119.0,1664,3623.188585
84.0,1411,3650.300191
2.0,186,3653.937566
5.0,328,3660.407688
5.0,302,3666.159945
99.0,1290,3690.507682
55.0,968,3708.809051
100.0,1566,3738.640756
76.0,1229,3761.949191
90.0,1238,3785.480508
60.0,1115,3806.674542
73.0,1095,3827.448687
33.0,910,3844.716769
91.0,1527,3873.737583
70.0,1516,3902.689907
63.0,1208,3925.567531
265.0,1657,3957.073054
18.0,633,3969.126229
0.0,129,3971.57992
0.0,129,3974.097107
9.0,404,3982.128688
0.0,129,3984.623355
53.0,1304,4009.405703
77.0,1194,4032.022854
136.0,1630,4063.035061
214.0,1751,4096.263325
85.0,1185,4118.652853
239.0,1629,4149.629135
159.0,1578,4179.580784
120.0,1586,4209.695615
108.0,1771,4243.310447
122.0,1500,4271.712832
107.0,1467,4299.590288
168.0,1826,4334.347553
218.0,1832,4369.253161
82.0,1267,4393.207954
85.0,1219,4416.216859
91.0,1512,4445.004939
215.0,1765,4478.543144
173.0,1681,4510.501368
198.0,1414,4537.413669
43.0,965,4555.706072
1.0,177,4559.138845
5.0,299,4564.971752
18.0,476,4573.946455
104.0,1365,4600.395521
82.0,1409,4627.121726
199.0,1404,4653.866749
177.0,1368,4679.780602
242.0,1457,4707.393241
111.0,1618,4738.056728
331.0,1872,4773.560721
276.0,1649,4804.781538
239.0,1133,4826.20761
342.0,1932,4862.794603
