#{"t_start": 1617137074.2672627, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
1.0,173,4.847548
0.0,125,6.862542
1.0,174,9.826842
0.0,129,12.167936
0.0,125,14.553077
4.0,259,19.285555
2.0,201,23.022461
0.0,129,25.357174
1.0,157,28.252581
0.0,129,30.587513
3.0,248,35.333023
7.0,409,44.182455
0.0,129,47.105265
4.0,300,53.377875
0.0,127,55.620089
0.0,125,57.909739
1.0,176,61.303364
0.0,129,63.805398
0.0,129,66.250763
5.0,326,72.970334
4.0,301,78.860553
1.0,177,82.325372
1.0,170,85.697188
1.0,176,89.100224
0.0,125,91.526592
0.0,127,93.791464
4.0,301,100.009039
0.0,127,102.381084
0.0,127,104.846021
2.0,202,108.715247
2.0,202,112.535576
0.0,127,114.844886
1.0,173,118.155132
0.0,129,120.577142
4.0,279,125.895001
0.0,129,128.326296
2.0,202,132.301471
10.0,432,141.229693
1.0,175,144.604518
0.0,127,146.958731
5.0,328,153.501671
0.0,127,155.784247
0.0,127,158.103743
0.0,129,160.412656
5.0,350,167.427992
1.0,153,170.385522
6.0,398,178.708289
0.0,125,180.95355
5.0,350,187.855899
2.0,200,191.762134
1.0,174,195.304671
2.0,200,199.479809
2.0,188,203.071672
1.0,153,205.893781
3.0,268,211.057836
2.0,198,215.104648
3.0,248,220.087417
5.0,329,226.810714
1.0,157,229.770284
0.0,127,231.990068
2.0,202,235.780328
9.0,404,243.772912
0.0,129,246.171981
0.0,129,248.442868
6.0,399,256.341967
4.0,297,261.933523
6.0,381,269.442652
2.0,218,273.637806
3.0,253,278.628719
2.0,187,282.424922
1.0,154,285.494423
1.0,176,289.17087
3.0,250,294.379345
0.0,123,296.858271
1.0,178,300.814265
8.0,460,309.980543
1.0,154,312.912565
4.0,319,319.311083
1.0,177,322.860737
1.0,155,326.060864
4.0,263,331.210036
5.0,347,338.200347
4.0,258,343.201861
4.0,265,348.364987
1.0,155,351.186073
3.0,216,355.396241
8.0,298,361.200003
11.0,271,366.409632
11.0,276,371.785066
3.0,232,376.150613
10.0,359,383.090253
12.0,519,393.328768
13.0,459,402.32934
6.0,327,408.690503
8.0,450,417.412258
6.0,377,424.670026
1.0,175,427.863879
7.0,385,435.391548
7.0,429,443.639741
10.0,398,451.261555
13.0,548,461.848966
11.0,533,472.270845
10.0,534,482.555681
9.0,426,490.746062
3.0,252,495.469046
3.0,253,500.380273
9.0,326,507.165017
5.0,301,513.01133
5.0,310,518.951691
12.0,521,529.641772
18.0,608,542.478906
15.0,526,553.350106
15.0,419,561.876853
19.0,688,575.665582
19.0,450,584.257721
15.0,453,592.905119
6.0,326,599.123706
10.0,503,608.76986
6.0,364,615.936634
15.0,438,624.69553
12.0,442,633.250381
17.0,681,646.469707
7.0,385,653.697222
10.0,561,664.379001
16.0,493,673.781488
9.0,532,683.973837
11.0,569,694.83989
22.0,742,709.172294
11.0,576,720.322277
14.0,626,732.521276
12.0,304,738.350111
21.0,773,753.363545
20.0,775,768.443461
23.0,587,779.753039
11.0,531,789.997439
18.0,695,803.479162
24.0,903,821.086963
9.0,479,830.344839
16.0,525,840.455189
13.0,600,851.99618
14.0,644,864.37119
27.0,701,877.847678
19.0,569,888.641252
21.0,673,901.552276
13.0,549,911.952983
14.0,715,925.668152
16.0,703,939.091474
18.0,585,950.606426
18.0,689,963.937701
18.0,520,973.976342
26.0,780,989.05601
23.0,786,1004.175564
20.0,704,1017.82868
24.0,619,1029.599306
34.0,836,1046.068223
16.0,539,1056.406688
17.0,788,1071.435812
16.0,673,1084.36091
19.0,661,1096.947814
22.0,808,1112.64988
23.0,599,1124.179344
24.0,887,1141.270877
15.0,695,1154.691027
12.0,460,1163.476349
18.0,515,1173.268717
9.0,362,1180.054636
18.0,755,1194.533118
20.0,736,1208.553059
30.0,977,1227.22567
21.0,775,1242.074438
41.0,1086,1262.826829
33.0,926,1280.6179
44.0,1268,1304.833519
20.0,718,1318.564045
27.0,796,1333.83612
53.0,1202,1357.077398
51.0,1174,1379.540339
23.0,861,1395.862246
29.0,892,1412.892267
36.0,1096,1433.803154
31.0,923,1451.401954
42.0,1078,1471.988775
13.0,453,1480.735886
2.0,183,1484.254183
43.0,1279,1508.83108
29.0,873,1525.518649
24.0,760,1539.937634
31.0,949,1558.081427
49.0,1031,1577.872463
21.0,736,1591.81304
50.0,1386,1618.526034
28.0,945,1636.545748
27.0,776,1651.293148
23.0,704,1664.712487
21.0,741,1678.739976
17.0,506,1688.301262
14.0,574,1699.164631
28.0,807,1714.568729
47.0,909,1731.847209
40.0,1127,1753.327674
20.0,742,1767.447864
35.0,697,1780.607105
61.0,1324,1805.898068
25.0,712,1819.46696
57.0,1335,1844.98915
32.0,935,1862.858714
39.0,974,1881.355754
69.0,1409,1908.292022
53.0,1215,1931.430893
24.0,893,1948.591595
9.0,419,1956.570821
0.0,129,1959.07853
0.0,129,1961.524355
0.0,129,1964.038951
0.0,125,1966.467706
0.0,129,1968.895913
9.0,482,1978.060721
35.0,803,1993.507078
74.0,1450,2021.194747
39.0,1125,2042.605732
56.0,1288,2067.331509
44.0,1098,2088.246796
32.0,719,2101.88714
51.0,1275,2126.24929
61.0,1288,2150.821462
20.0,656,2163.285097
0.0,129,2165.740762
49.0,1129,2187.245403
59.0,1042,2207.123093
36.0,956,2225.363085
59.0,1300,2250.332638
41.0,1006,2269.415124
6.0,350,2276.068912
24.0,794,2291.1125
32.0,877,2307.76636
38.0,1036,2327.35358
34.0,1071,2347.748871
35.0,1028,2367.485736
76.0,1477,2396.018546
26.0,822,2411.745687
54.0,871,2428.28631
30.0,813,2443.712484
40.0,912,2461.049442
67.0,1576,2491.140937
23.0,806,2506.463612
29.0,918,2523.879878
317.0,1074,2544.259142
29.0,580,2555.260185
53.0,943,2573.091636
49.0,999,2591.981827
67.0,1200,2614.83403
61.0,1358,2640.676124
48.0,1160,2662.858051
