#{"t_start": 1617129578.6661885, "env_id": null}
r,l,t
20,100,2.833794
21,100,3.465065
20,100,3.995563
16,100,4.527222
23,100,5.054233
16,100,5.586422
21,100,6.111758
21,100,6.630732
22,100,7.147121
23,100,7.665709
25,100,8.184966
12,100,8.703615
11,100,9.218419
19,100,9.748629
27,100,10.26728
17,100,10.781244
18,100,11.311086
24,100,11.836111
24,100,12.352134
23,100,12.86515
19,100,13.392764
25,100,13.908629
31,100,14.421319
16,100,14.937369
30,100,15.455222
33,100,16.027979
21,100,16.587826
30,100,17.127254
30,100,17.735168
23,100,18.299172
38,100,18.895185
30,100,19.489296
23,100,20.030271
28,100,20.59623
25,100,21.165104
32,100,21.721693
29,100,22.265757
36,100,22.813376
30,100,23.452944
32,100,24.071475
24,100,24.660136
35,100,25.226168
32,100,25.811706
29,100,26.392316
31,100,26.97263
27,100,27.566904
33,100,28.182482
36,100,28.76923
36,100,29.385314
39,100,29.982042
41,100,30.567611
33,100,31.150146
27,100,31.740205
28,100,32.427588
25,100,33.161741
35,100,33.882303
30,100,34.58048
30,100,35.445005
28,100,36.104128
36,100,36.912866
36,100,37.705735
39,100,38.456906
23,100,39.320368
34,100,40.219719
29,100,41.005675
33,100,41.791045
31,100,42.585036
39,100,43.277996
33,100,44.004574
23,100,44.741137
25,100,45.42785
27,100,46.118813
34,100,46.739117
38,100,47.331725
27,100,47.912404
21,100,48.509301
34,100,49.109167
29,100,49.704561
35,100,50.288576
26,100,50.874634
30,100,51.463934
32,100,52.044264
32,100,52.641243
29,100,53.217288
29,100,53.802075
20,100,54.387399
32,100,54.960644
33,100,55.540166
32,100,56.113705
34,100,56.695855
33,100,57.275254
28,100,57.846387
35,100,58.41773
34,100,59.004815
36,100,59.584323
33,100,60.163881
36,100,60.743075
42,100,61.366287
35,100,61.953312
38,100,62.526468
38,100,63.106143
32,100,63.682844
36,100,64.30373
32,100,64.921024
40,100,65.507827
33,100,66.083577
31,100,66.664902
36,100,67.245005
40,100,67.819598
41,100,68.395482
36,100,68.9793
40,100,69.556606
35,100,70.165518
35,100,70.783286
23,100,71.361305
28,100,71.943618
32,100,72.519258
32,100,73.094064
32,100,73.670117
33,100,74.257201
43,100,74.852745
40,100,75.46799
34,100,76.0889
41,100,76.670297
31,100,77.249705
35,100,77.829521
38,100,78.406543
37,100,78.984731
38,100,79.55948
43,100,80.135942
32,100,80.714886
35,100,81.288869
32,100,81.867363
39,100,82.452785
29,100,83.033663
41,100,83.612833
37,100,84.190113
40,100,84.768087
41,100,85.35674
41,100,85.938592
32,100,86.515051
33,100,87.092081
36,100,87.663256
33,100,88.254334
33,100,88.876997
38,100,89.479754
35,100,90.098651
29,100,90.725248
39,100,91.369999
42,100,91.990827
38,100,92.592649
38,100,93.211446
43,100,93.831827
46,100,94.418149
27,100,95.00018
41,100,95.585587
38,100,96.168656
38,100,96.743742
31,100,97.321249
32,100,97.899411
42,100,98.477632
34,100,99.085006
31,100,99.671746
35,100,100.252917
35,100,100.930316
33,100,101.654856
31,100,102.275884
36,100,102.859676
41,100,103.51784
32,100,104.208283
38,100,104.818298
34,100,105.397151
45,100,105.980269
30,100,106.576027
29,100,107.239737
39,100,107.911731
35,100,108.517642
