#{"t_start": 1616709722.7754347, "env_id": null}
r,l,t
6,100,2.360006
11,100,3.165131
22,100,3.807166
15,100,4.419469
12,100,4.916013
19,100,5.434368
14,100,5.944643
23,100,6.447773
24,100,6.955827
14,100,7.456181
16,100,7.964805
8,100,8.472446
18,100,8.967772
12,100,9.458814
26,100,10.015448
20,100,10.66556
20,100,11.192685
34,100,11.771124
25,100,12.315125
21,100,12.856596
33,100,13.433123
23,100,14.026334
28,100,14.537234
28,100,15.118267
28,100,15.738894
24,100,16.326907
32,100,16.921893
32,100,17.558455
27,100,18.105852
25,100,18.656611
29,100,19.327401
34,100,19.909562
33,100,20.484558
31,100,21.216962
35,100,21.851629
41,100,22.496792
36,100,23.067002
38,100,23.596983
32,100,24.119269
28,100,24.631752
26,100,25.150254
33,100,25.884295
32,100,26.486189
41,100,27.107888
35,100,27.792032
38,100,28.336104
34,100,28.8787
30,100,29.393642
35,100,29.918732
32,100,30.457229
33,100,31.006337
29,100,31.518633
35,100,32.046045
33,100,32.643308
30,100,33.271927
28,100,33.79404
29,100,34.376632
32,100,35.060616
38,100,35.685744
28,100,36.32774
37,100,36.898302
28,100,37.449643
35,100,38.005536
32,100,38.556796
34,100,39.111354
33,100,39.66581
36,100,40.217775
35,100,40.773253
26,100,41.325071
27,100,41.879265
33,100,42.434805
32,100,42.988671
34,100,43.542609
30,100,44.094524
38,100,44.64522
34,100,45.194638
33,100,45.744236
33,100,46.295024
26,100,46.847236
33,100,47.397857
38,100,47.954437
45,100,48.503576
43,100,49.055944
38,100,49.608135
32,100,50.155522
38,100,50.708327
39,100,51.257172
33,100,51.80604
33,100,52.356918
37,100,52.909187
34,100,53.460256
32,100,54.017083
38,100,54.573138
32,100,55.125891
29,100,55.676886
34,100,56.229129
35,100,56.777066
37,100,57.328959
36,100,57.879169
39,100,58.431973
36,100,58.989046
33,100,59.541358
36,100,60.090984
38,100,60.640007
39,100,61.188936
40,100,61.7393
36,100,62.290338
32,100,62.841223
42,100,63.385916
34,100,63.933508
38,100,64.487208
33,100,65.0422
33,100,65.58606
35,100,66.137121
41,100,66.689678
30,100,67.241961
35,100,67.795387
43,100,68.341665
34,100,68.892424
36,100,69.440834
40,100,69.988373
33,100,70.549138
33,100,71.093389
35,100,71.646964
42,100,72.194806
47,100,72.74593
36,100,73.310069
29,100,73.870103
31,100,74.413468
36,100,74.95376
35,100,75.501643
36,100,76.054695
34,100,76.603709
36,100,77.159002
39,100,77.713259
39,100,78.263469
38,100,78.814617
40,100,79.371782
33,100,79.916494
49,100,80.472653
