#{"t_start": 1617129578.7478967, "env_id": null}
r,l,t
16,100,2.752518
9,100,3.382811
18,100,3.913969
15,100,4.445862
12,100,4.972925
11,100,5.504334
10,100,6.029968
16,100,6.550027
18,100,7.065484
19,100,7.583663
19,100,8.103256
16,100,8.62131
21,100,9.136711
19,100,9.666456
21,100,10.185624
15,100,10.698726
23,100,11.229378
18,100,11.753999
20,100,12.270426
24,100,12.782874
20,100,13.310943
26,100,13.826742
22,100,14.33935
29,100,14.855684
33,100,15.37401
36,100,15.946956
27,100,16.506292
24,100,17.04549
26,100,17.652936
35,100,18.218146
32,100,18.813839
19,100,19.407237
31,100,19.94807
28,100,20.514562
32,100,21.082892
28,100,21.640443
35,100,22.184404
29,100,22.731553
27,100,23.370096
31,100,23.988832
34,100,24.578938
24,100,25.144716
26,100,25.730173
29,100,26.310605
25,100,26.89138
26,100,27.485764
34,100,28.101031
36,100,28.686596
26,100,29.303458
29,100,29.89972
23,100,30.486519
32,100,31.067784
25,100,31.657991
37,100,32.345952
26,100,33.079262
25,100,33.80079
37,100,34.498282
33,100,35.362475
33,100,36.022608
31,100,36.831249
31,100,37.625196
29,100,38.375487
29,100,39.239647
37,100,40.139166
31,100,40.923449
39,100,41.70827
36,100,42.503079
36,100,43.196308
35,100,43.923633
36,100,44.659174
31,100,45.345526
40,100,46.037509
35,100,46.657559
26,100,47.249734
40,100,47.830711
34,100,48.426788
28,100,49.027142
29,100,49.622719
33,100,50.207112
35,100,50.793027
36,100,51.382719
34,100,51.961825
28,100,52.559259
28,100,53.135599
31,100,53.71956
25,100,54.305522
33,100,54.879541
29,100,55.457746
37,100,56.032423
43,100,56.613734
38,100,57.192975
34,100,57.76517
34,100,58.336122
32,100,58.923702
29,100,59.502958
39,100,60.082095
38,100,60.661462
34,100,61.284653
35,100,61.870952
37,100,62.444968
37,100,63.024382
21,100,63.601297
39,100,64.222022
39,100,64.839067
39,100,65.426289
41,100,66.001468
37,100,66.583066
36,100,67.162833
36,100,67.738084
33,100,68.313777
25,100,68.897635
45,100,69.474563
45,100,70.083393
33,100,70.701578
37,100,71.279268
32,100,71.862147
44,100,72.437549
36,100,73.012342
30,100,73.588196
38,100,74.174689
37,100,74.772124
26,100,75.385524
35,100,76.00683
36,100,76.588775
27,100,77.168036
38,100,77.747973
31,100,78.324683
40,100,78.903332
34,100,79.478333
32,100,80.053598
35,100,80.632268
37,100,81.20728
36,100,81.785959
39,100,82.370764
33,100,82.952041
39,100,83.531779
46,100,84.107511
27,100,84.686719
33,100,85.275446
43,100,85.856799
46,100,86.43396
28,100,87.009834
36,100,87.581694
27,100,88.172696
40,100,88.795289
25,100,89.398046
34,100,90.017624
36,100,90.643308
28,100,91.288925
40,100,91.909391
41,100,92.510934
36,100,93.130384
36,100,93.750292
34,100,94.336619
36,100,94.918752
37,100,95.503251
34,100,96.086352
30,100,96.662034
35,100,97.240358
30,100,97.817614
33,100,98.396299
34,100,99.002706
45,100,99.589382
37,100,100.170352
33,100,100.848117
31,100,101.573557
33,100,102.193573
39,100,102.777717
35,100,103.435901
37,100,104.126668
40,100,104.736302
34,100,105.315028
34,100,105.898254
34,100,106.494346
31,100,107.157423
32,100,107.83009
39,100,108.435952
42,100,109.017983
34,100,109.598889
33,100,110.176043
38,100,110.762404
40,100,111.345453
40,100,111.924129
42,100,112.503524
39,100,113.084282
38,100,113.668362
34,100,114.245277
27,100,114.826351
41,100,115.400573
38,100,115.984144
41,100,116.567725
33,100,117.14728
37,100,117.730241
36,100,118.306541
35,100,118.887859
35,100,119.466311
36,100,120.042251
38,100,120.617385
41,100,121.19574
36,100,121.776016
33,100,122.35929
39,100,122.937988
40,100,123.518768
37,100,124.1007
33,100,124.675708
31,100,125.25483
39,100,125.834776
35,100,126.413697
37,100,126.9947
42,100,127.591662
37,100,128.238349
33,100,128.89978
35,100,129.503399
40,100,130.151586
39,100,130.743331
36,100,131.335545
32,100,132.062726
42,100,132.698354
42,100,133.282761
35,100,133.863885
38,100,134.455681
37,100,135.042107
40,100,135.623348
34,100,136.216702
44,100,136.810765
38,100,137.413187
40,100,137.99256
37,100,138.579043
28,100,139.163944
46,100,139.752756
30,100,140.34069
34,100,140.921975
37,100,141.508342
44,100,142.094259
41,100,142.676851
34,100,143.27027
40,100,143.854921
39,100,144.441884
29,100,145.027704
38,100,145.611001
36,100,146.201372
37,100,146.787302
45,100,147.371272
31,100,147.955362
37,100,148.538746
37,100,149.130888
38,100,149.717099
42,100,150.298078
33,100,150.881927
35,100,151.466042
45,100,152.058289
34,100,152.74503
36,100,153.43504
30,100,154.053832
41,100,154.666845
35,100,155.254422
39,100,155.834355
34,100,156.416636
35,100,157.001535
39,100,157.583524
33,100,158.1661
38,100,158.751518
43,100,159.334493
35,100,159.919103
47,100,160.503219
45,100,161.092027
39,100,161.6775
31,100,162.261205
33,100,162.856775
31,100,163.443084
37,100,164.031203
34,100,164.615563
50,100,165.204578
37,100,165.78989
38,100,166.373899
44,100,166.960584
39,100,167.543118
34,100,168.246105
37,100,168.940543
44,100,169.632138
45,100,170.347564
38,100,171.107325
42,100,171.705431
35,100,172.294621
32,100,172.88482
33,100,173.472219
39,100,174.061422
41,100,174.659909
37,100,175.331174
38,100,175.925672
51,100,176.513803
36,100,177.102426
32,100,177.690703
38,100,178.276738
42,100,178.903479
37,100,179.492401
33,100,180.076746
37,100,180.663509
41,100,181.248659
35,100,181.834586
35,100,182.428177
45,100,183.01192
37,100,183.599594
38,100,184.190727
35,100,184.778589
36,100,185.369751
39,100,185.958147
40,100,186.542226
39,100,187.164973
43,100,187.78257
42,100,188.374834
43,100,188.957629
41,100,189.547733
34,100,190.134242
35,100,190.721286
44,100,191.311552
35,100,191.892615
46,100,192.476126
42,100,193.058643
37,100,193.645873
36,100,194.232402
44,100,194.81475
30,100,195.396784
36,100,195.980747
36,100,196.564297
37,100,197.155559
32,100,197.75404
38,100,198.361443
34,100,198.946728
37,100,199.569372
37,100,200.184081
40,100,200.794056
38,100,201.393776
41,100,202.009663
43,100,202.61885
48,100,203.212221
50,100,203.794741
40,100,204.380674
34,100,204.966028
35,100,205.549139
43,100,206.139194
39,100,206.730156
32,100,207.314454
39,100,207.897524
40,100,208.48078
29,100,209.069607
38,100,209.655147
34,100,210.239938
34,100,210.853977
36,100,211.464684
31,100,212.079428
31,100,212.681585
51,100,213.282
42,100,213.876374
41,100,214.461635
35,100,215.061255
36,100,215.651546
36,100,216.242548
30,100,216.825343
39,100,217.412777
35,100,218.002563
45,100,218.593194
39,100,219.183325
43,100,219.763376
33,100,220.350861
34,100,220.936141
31,100,221.519267
36,100,222.102461
33,100,222.690925
39,100,223.271894
33,100,223.858656
31,100,224.445095
43,100,225.030219
37,100,225.613276
38,100,226.198901
37,100,226.785535
41,100,227.375528
36,100,227.963942
43,100,228.546616
37,100,229.133786
32,100,229.72285
43,100,230.308367
36,100,230.892739
30,100,231.474305
41,100,232.05669
38,100,232.645236
42,100,233.226765
43,100,233.81546
36,100,234.402177
37,100,234.984222
36,100,235.566235
37,100,236.151244
42,100,236.735665
43,100,237.321847
45,100,237.906985
36,100,238.492659
42,100,239.081777
41,100,239.668075
34,100,240.253923
37,100,240.839325
46,100,241.421866
39,100,242.007307
39,100,242.592539
35,100,243.178622
38,100,243.774157
40,100,244.357282
36,100,244.945664
35,100,245.524327
39,100,246.10303
41,100,246.68808
46,100,247.271707
42,100,247.852262
37,100,248.432267
34,100,249.014124
45,100,249.59915
41,100,250.188635
39,100,250.771599
38,100,251.354067
34,100,251.933418
38,100,252.516234
37,100,253.100239
50,100,253.68434
36,100,254.264514
39,100,254.845727
43,100,255.429404
39,100,256.014612
39,100,256.598541
31,100,257.187707
35,100,257.77352
40,100,258.358507
36,100,258.945872
39,100,259.531765
44,100,260.11375
41,100,260.705729
45,100,261.29208
31,100,261.877809
40,100,262.462559
35,100,263.04915
38,100,263.636486
39,100,264.222932
37,100,264.814273
38,100,265.397302
30,100,265.983441
48,100,266.567812
39,100,267.153149
33,100,267.73562
40,100,268.321593
34,100,268.905975
33,100,269.493058
39,100,270.079739
35,100,270.680987
36,100,271.243412
38,100,271.833275
39,100,272.416817
38,100,273.00093
41,100,273.589595
37,100,274.17394
31,100,274.760894
40,100,275.346107
39,100,275.931058
34,100,276.518669
44,100,277.104079
40,100,277.692348
29,100,278.277242
48,100,278.882662
43,100,279.472256
38,100,280.060031
38,100,280.647124
43,100,281.235684
43,100,281.818629
46,100,282.405129
34,100,282.985394
46,100,283.569391
37,100,284.158408
44,100,284.745789
33,100,285.340204
37,100,285.994638
34,100,286.579662
41,100,287.175522
40,100,287.753269
40,100,288.341663
45,100,288.924189
37,100,289.514687
33,100,290.097497
31,100,290.687786
34,100,291.279246
36,100,291.86267
49,100,292.450506
38,100,293.040533
32,100,293.626489
42,100,294.221223
31,100,294.807751
30,100,295.395592
44,100,295.983765
46,100,296.571874
42,100,297.170923
39,100,297.752233
40,100,298.334814
37,100,298.920162
41,100,299.546291
41,100,300.15409
37,100,300.74357
41,100,301.32652
36,100,301.907607
35,100,302.53015
46,100,303.157567
42,100,303.746619
45,100,304.345707
45,100,304.935051
40,100,305.521234
42,100,306.10957
36,100,306.699853
41,100,307.287785
40,100,307.872869
36,100,308.454674
34,100,309.041879
32,100,309.627347
42,100,310.215559
41,100,310.804669
45,100,311.396607
41,100,311.983212
35,100,312.567995
46,100,313.156146
32,100,313.736712
40,100,314.319486
43,100,314.908099
39,100,315.493659
