#{"t_start": 1617129578.637379, "env_id": null}
r,l,t
3,100,2.862123
7,100,3.492556
12,100,4.023396
8,100,4.555469
19,100,5.082624
13,100,5.614069
13,100,6.139704
14,100,6.659098
20,100,7.175203
15,100,7.693718
21,100,8.212964
23,100,8.730983
19,100,9.246314
17,100,9.776515
21,100,10.295627
26,100,10.808653
25,100,11.339047
22,100,11.863667
21,100,12.3801
21,100,12.892488
16,100,13.420651
29,100,13.936495
26,100,14.449344
20,100,14.965316
22,100,15.483594
26,100,16.055942
30,100,16.61614
22,100,17.155146
29,100,17.76262
29,100,18.327139
30,100,18.923272
23,100,19.516987
22,100,20.057734
32,100,20.624127
23,100,21.192416
26,100,21.749654
36,100,22.293599
32,100,22.841201
27,100,23.480304
32,100,24.098876
28,100,24.688106
35,100,25.254802
33,100,25.839793
32,100,26.420332
26,100,27.000517
34,100,27.594651
35,100,28.210517
32,100,28.796758
36,100,29.413004
30,100,30.009231
31,100,30.595433
28,100,31.178009
24,100,31.768106
36,100,32.455439
25,100,33.189161
27,100,33.9101
38,100,34.607788
31,100,35.471945
32,100,36.131936
27,100,36.940627
41,100,37.733809
37,100,38.484526
37,100,39.347995
35,100,40.24697
31,100,41.033101
29,100,41.81844
36,100,42.612673
40,100,43.305841
35,100,44.032322
35,100,44.768834
32,100,45.454911
38,100,46.146698
29,100,46.767017
34,100,47.35918
26,100,47.940203
33,100,48.536355
30,100,49.136761
42,100,49.732478
35,100,50.316696
40,100,50.902674
35,100,51.491848
37,100,52.071786
28,100,52.668728
31,100,53.245076
35,100,53.829576
32,100,54.415252
35,100,54.988651
40,100,55.56743
30,100,56.141545
34,100,56.723346
37,100,57.302537
36,100,57.874783
42,100,58.445753
38,100,59.032602
35,100,59.612122
29,100,60.191619
26,100,60.770986
29,100,61.394212
28,100,61.980583
37,100,62.554495
27,100,63.134026
39,100,63.71077
38,100,64.331588
33,100,64.948868
37,100,65.535887
38,100,66.112488
37,100,66.69217
29,100,67.272332
37,100,67.847591
27,100,68.423443
34,100,69.007277
32,100,69.5841
35,100,70.193036
39,100,70.810989
37,100,71.389183
35,100,71.971737
31,100,72.547201
27,100,73.122009
33,100,73.697812
34,100,74.284639
35,100,74.880676
35,100,75.495111
36,100,76.116827
36,100,76.698218
35,100,77.278156
29,100,77.857811
36,100,78.434452
22,100,79.01301
37,100,79.587919
32,100,80.16311
38,100,80.742069
38,100,81.316887
37,100,81.895309
34,100,82.480655
34,100,83.061546
34,100,83.640759
33,100,84.217568
34,100,84.795942
34,100,85.385005
30,100,85.966391
28,100,86.542964
36,100,87.119359
46,100,87.69119
37,100,88.282049
34,100,88.904899
36,100,89.507497
31,100,90.126736
36,100,90.752902
37,100,91.397893
36,100,92.018304
40,100,92.620652
47,100,93.2393
33,100,93.859841
45,100,94.445462
35,100,95.027972
36,100,95.612789
31,100,96.19592
43,100,96.771537
27,100,97.349651
33,100,97.927204
36,100,98.506099
40,100,99.112922
45,100,99.699074
37,100,100.280128
36,100,100.957564
37,100,101.682987
31,100,102.303225
41,100,102.887602
35,100,103.54542
39,100,104.23611
45,100,104.845759
40,100,105.424997
35,100,106.007727
31,100,106.603878
43,100,107.267121
30,100,107.939666
41,100,108.545566
41,100,109.127661
38,100,109.708479
45,100,110.285685
40,100,110.871955
36,100,111.45458
34,100,112.033762
37,100,112.61306
39,100,113.193921
30,100,113.777911
39,100,114.354888
37,100,114.935847
38,100,115.510194
38,100,116.0939
47,100,116.677134
40,100,117.256336
41,100,117.839038
32,100,118.41657
32,100,118.99723
33,100,119.575484
28,100,120.15195
35,100,120.726222
34,100,121.305409
43,100,121.885775
38,100,122.468874
36,100,123.047604
35,100,123.628406
49,100,124.210299
36,100,124.785278
35,100,125.364676
39,100,125.944403
35,100,126.523342
37,100,127.103711
43,100,127.70129
34,100,128.346823
41,100,129.009358
39,100,129.61252
40,100,130.261124
35,100,130.852246
41,100,131.444446
41,100,132.170436
35,100,132.807872
31,100,133.392468
34,100,133.973444
37,100,134.565284
44,100,135.151654
31,100,135.732893
49,100,136.326334
31,100,136.920313
41,100,137.52284
37,100,138.102158
40,100,138.689206
42,100,139.273
43,100,139.862291
37,100,140.450328
40,100,141.03152
43,100,141.617859
42,100,142.203777
42,100,142.786519
43,100,143.379902
35,100,143.963913
42,100,144.550788
40,100,145.137206
34,100,145.720743
36,100,146.310825
41,100,146.896851
38,100,147.4806
43,100,148.064447
33,100,148.648751
39,100,149.24046
41,100,149.826226
38,100,150.408026
38,100,150.991526
35,100,151.575629
37,100,152.167166
41,100,152.854444
40,100,153.544512
42,100,154.162519
35,100,154.776387
44,100,155.364028
39,100,155.943856
35,100,156.526262
37,100,157.110496
47,100,157.69325
36,100,158.274939
33,100,158.861042
39,100,159.444141
41,100,160.028628
35,100,160.612791
39,100,161.201507
37,100,161.78699
32,100,162.370839
43,100,162.966211
38,100,163.552558
36,100,164.140888
39,100,164.725091
41,100,165.313699
42,100,165.900161
43,100,166.483376
41,100,167.070117
41,100,167.652744
50,100,168.354847
42,100,169.050164
38,100,169.74076
39,100,170.45893
43,100,171.21729
49,100,171.815167
35,100,172.404269
31,100,172.994323
44,100,173.581137
46,100,174.170931
41,100,174.769373
34,100,175.440058
39,100,176.035176
25,100,176.623744
36,100,177.211364
32,100,177.799896
39,100,178.385961
43,100,179.012861
43,100,179.60199
38,100,180.186276
42,100,180.773159
37,100,181.35775
36,100,181.944243
38,100,182.53816
41,100,183.121281
35,100,183.709144
40,100,184.300343
37,100,184.888166
32,100,185.479397
38,100,186.067706
38,100,186.651862
40,100,187.274436
42,100,187.891411
38,100,188.484384
39,100,189.067253
39,100,189.657119
36,100,190.243878
40,100,190.830465
33,100,191.421197
34,100,192.002296
35,100,192.585812
38,100,193.168193
39,100,193.755325
39,100,194.342014
43,100,194.924366
36,100,195.505909
39,100,196.090301
44,100,196.673874
41,100,197.265185
40,100,197.863618
31,100,198.47104
36,100,199.05555
35,100,199.678844
39,100,200.293524
41,100,200.904063
33,100,201.503272
39,100,202.119271
42,100,202.728417
35,100,203.321879
38,100,203.903624
40,100,204.490063
41,100,205.075535
32,100,205.658773
31,100,206.24841
34,100,206.839755
43,100,207.424512
43,100,208.007572
39,100,208.590836
51,100,209.17857
38,100,209.764808
38,100,210.349505
40,100,210.963579
35,100,211.574248
33,100,212.18878
40,100,212.791445
38,100,213.391564
38,100,213.985909
38,100,214.571341
45,100,215.170197
41,100,215.761289
39,100,216.351403
43,100,216.935132
39,100,217.521556
40,100,218.112574
35,100,218.702767
45,100,219.292916
39,100,219.872844
34,100,220.460474
36,100,221.045584
38,100,221.628793
32,100,222.211996
46,100,222.800529
37,100,223.380775
37,100,223.96778
35,100,224.55447
41,100,225.140258
33,100,225.722815
37,100,226.308324
43,100,226.895175
44,100,227.485167
36,100,228.073488
34,100,228.656174
49,100,229.242693
40,100,229.83249
37,100,230.417996
39,100,231.002223
33,100,231.583882
47,100,232.16642
31,100,232.755155
42,100,233.336402
40,100,233.925224
36,100,234.511729
40,100,235.094153
40,100,235.675806
38,100,236.260625
38,100,236.845156
41,100,237.43163
38,100,238.01596
34,100,238.601508
42,100,239.19154
39,100,239.777718
35,100,240.363412
32,100,240.948233
40,100,241.531008
42,100,242.11683
44,100,242.702032
37,100,243.288242
32,100,243.883619
40,100,244.466627
40,100,245.054554
32,100,245.63388
35,100,246.212526
35,100,246.797832
39,100,247.381339
48,100,247.961887
38,100,248.541536
43,100,249.123802
44,100,249.708867
39,100,250.298628
35,100,250.881145
37,100,251.463515
