#{"t_start": 1616511666.4829044, "env_id": null}
r,l,t
5,100,2.056379
11,100,2.494165
15,100,2.916275
6,100,3.346297
9,100,3.787901
14,100,4.193755
10,100,4.664592
12,100,5.14239
9,100,5.589138
10,100,6.061986
7,100,6.551822
16,100,6.989373
23,100,7.469122
13,100,7.973377
5,100,8.445494
13,100,8.908005
10,100,9.366055
13,100,9.801903
12,100,10.253211
17,100,10.676145
10,100,11.101596
14,100,11.501116
19,100,11.908245
11,100,12.310075
18,100,12.715135
19,100,13.134822
14,100,13.530785
15,100,13.997524
14,100,14.507083
16,100,14.973449
13,100,15.446462
10,100,15.887011
11,100,16.354613
13,100,16.801519
14,100,17.226052
12,100,17.638643
12,100,18.053429
14,100,18.46906
8,100,18.932355
15,100,19.381176
22,100,19.889785
10,100,20.397503
13,100,20.888256
16,100,21.354564
16,100,21.801642
13,100,22.249438
17,100,22.664049
17,100,23.104594
11,100,23.541211
12,100,24.004825
12,100,24.424046
19,100,24.929791
18,100,25.427591
14,100,25.843659
18,100,26.340523
24,100,26.796442
19,100,27.22927
10,100,27.669037
15,100,28.127104
15,100,28.583553
12,100,29.086065
16,100,29.586874
10,100,30.052576
18,100,30.464575
13,100,30.897112
20,100,31.339901
16,100,31.793265
11,100,32.285002
20,100,32.692208
20,100,33.187523
26,100,33.641634
13,100,34.087677
18,100,34.53963
21,100,35.006934
20,100,35.507468
19,100,35.971374
25,100,36.394863
19,100,36.82178
15,100,37.297325
20,100,37.779921
19,100,38.220666
28,100,38.647788
19,100,39.117221
16,100,39.552477
20,100,39.952923
23,100,40.371794
19,100,40.788876
17,100,41.191268
16,100,41.640496
23,100,42.046389
19,100,42.473025
25,100,42.914634
27,100,43.353095
23,100,43.805501
18,100,44.282398
19,100,44.716544
28,100,45.114507
23,100,45.527077
21,100,45.957797
24,100,46.384236
28,100,46.81596
23,100,47.237772
22,100,47.673847
27,100,48.11188
22,100,48.531496
30,100,48.977509
27,100,49.396477
21,100,49.850127
29,100,50.29013
24,100,50.713463
24,100,51.155062
23,100,51.583631
23,100,52.041332
30,100,52.510148
29,100,52.958021
26,100,53.364807
36,100,53.800032
24,100,54.237476
26,100,54.671264
17,100,55.107614
23,100,55.53132
24,100,55.924371
27,100,56.361247
22,100,56.734288
24,100,57.164634
32,100,57.613086
29,100,58.034609
32,100,58.438029
20,100,58.903968
20,100,59.321503
25,100,59.742997
29,100,60.252558
22,100,60.690695
21,100,61.108492
32,100,61.543273
30,100,62.031387
24,100,62.446641
18,100,62.896084
30,100,63.323869
31,100,63.754328
29,100,64.221531
34,100,64.649995
28,100,65.095204
25,100,65.513649
29,100,65.948289
29,100,66.381842
