#{"t_start": 1616709722.730837, "env_id": null}
r,l,t
8,100,2.404842
5,100,3.210412
13,100,3.8525
20,100,4.464723
12,100,4.961332
16,100,5.480037
11,100,5.989831
21,100,6.49305
11,100,7.001724
21,100,7.501529
20,100,8.009853
20,100,8.517606
21,100,9.012902
29,100,9.504565
20,100,10.060795
24,100,10.711133
21,100,11.238049
23,100,11.817025
23,100,12.360519
27,100,12.901866
26,100,13.477054
20,100,14.071654
31,100,14.58334
23,100,15.163543
37,100,15.784718
35,100,16.372915
26,100,16.967782
22,100,17.60331
31,100,18.151196
29,100,18.701353
29,100,19.372599
34,100,19.955122
36,100,20.531345
29,100,21.263172
27,100,21.895569
34,100,22.542258
29,100,23.112339
35,100,23.642176
30,100,24.164502
24,100,24.677545
33,100,25.193929
25,100,25.929567
39,100,26.530032
38,100,27.153837
24,100,27.835562
29,100,28.381594
35,100,28.923557
36,100,29.439106
43,100,29.96452
39,100,30.502542
33,100,31.051571
34,100,31.564056
24,100,32.090918
30,100,32.68938
20,100,33.317261
42,100,33.839763
39,100,34.422118
36,100,35.105969
30,100,35.731135
34,100,36.373268
38,100,36.943713
37,100,37.494921
27,100,38.051549
35,100,38.602641
38,100,39.156787
36,100,39.7112
34,100,40.263161
35,100,40.818724
29,100,41.370021
38,100,41.924551
38,100,42.480145
34,100,43.034672
36,100,43.588353
37,100,44.139871
30,100,44.690448
38,100,45.240027
37,100,45.790214
40,100,46.340399
42,100,46.892534
41,100,47.443176
32,100,47.999853
35,100,48.549355
37,100,49.10185
36,100,49.653376
30,100,50.20081
39,100,50.753558
40,100,51.30263
41,100,51.85136
34,100,52.402683
31,100,52.954561
28,100,53.506166
35,100,54.062851
33,100,54.618383
35,100,55.171642
32,100,55.722281
40,100,56.274463
36,100,56.82201
31,100,57.374246
33,100,57.92443
32,100,58.477382
37,100,59.034197
45,100,59.586746
29,100,60.136654
52,100,60.685937
41,100,61.234889
42,100,61.784479
44,100,62.33633
42,100,62.886618
25,100,63.431562
39,100,63.978861
34,100,64.532552
31,100,65.087263
27,100,65.63174
39,100,66.182517
35,100,66.735078
32,100,67.287262
33,100,67.840712
43,100,68.387437
25,100,68.937784
44,100,69.486295
40,100,70.033822
44,100,70.594318
43,100,71.138609
38,100,71.692442
42,100,72.239973
27,100,72.791336
33,100,73.355525
34,100,73.915462
30,100,74.458874
39,100,74.999081
35,100,75.546697
35,100,76.100045
37,100,76.649161
30,100,77.20446
31,100,77.758915
40,100,78.308882
45,100,78.859899
41,100,79.416792
38,100,79.96189
38,100,80.517861
44,100,81.073542
38,100,81.625278
35,100,82.175591
35,100,82.723901
41,100,83.276815
40,100,83.83374
37,100,84.383428
39,100,84.932298
34,100,85.489464
37,100,86.045254
37,100,86.599534
35,100,87.148615
32,100,87.701336
33,100,88.250559
27,100,88.809312
35,100,89.367436
42,100,89.919306
38,100,90.467454
35,100,91.020163
39,100,91.569313
38,100,92.124932
38,100,92.675336
34,100,93.228452
35,100,93.781682
43,100,94.332019
40,100,94.887777
30,100,95.438979
45,100,95.994717
36,100,96.545055
31,100,97.095635
42,100,97.650445
36,100,98.206328
42,100,98.756022
41,100,99.30633
35,100,99.860203
36,100,100.422511
30,100,100.9617
34,100,101.509976
49,100,102.061581
35,100,102.613372
44,100,103.167836
32,100,103.720727
26,100,104.266031
35,100,104.828246
39,100,105.382598
34,100,105.932775
34,100,106.485969
38,100,107.031734
38,100,107.601994
41,100,108.201204
35,100,108.778182
45,100,109.349505
33,100,109.921686
40,100,110.49609
32,100,111.077017
32,100,111.676806
33,100,112.26425
33,100,112.849794
38,100,113.409427
37,100,113.982052
33,100,114.557608
36,100,115.130417
40,100,115.717416
44,100,116.307556
39,100,116.882908
46,100,117.458135
31,100,118.031767
33,100,118.609711
42,100,119.202702
36,100,119.791592
36,100,120.362293
37,100,120.939968
35,100,121.532628
34,100,122.125432
36,100,122.706167
39,100,123.300865
43,100,123.867884
42,100,124.450136
40,100,125.017399
31,100,125.607124
37,100,126.171368
37,100,126.737663
39,100,127.311207
34,100,127.90421
47,100,128.474614
45,100,129.047626
45,100,129.61965
39,100,130.194179
40,100,130.766267
39,100,131.347195
38,100,131.950435
35,100,132.536189
37,100,133.128386
39,100,133.713235
41,100,134.2937
34,100,134.875893
38,100,135.462667
35,100,136.056297
43,100,136.612695
35,100,137.174615
34,100,137.768983
33,100,138.353621
36,100,138.928835
39,100,139.495094
44,100,140.091612
42,100,140.683224
39,100,141.259486
46,100,141.838175
41,100,142.395956
35,100,142.987639
42,100,143.584892
41,100,144.168942
40,100,144.755029
34,100,145.342664
36,100,145.905434
43,100,146.484306
39,100,147.066452
39,100,147.634724
44,100,148.197829
38,100,148.771103
52,100,149.357965
44,100,149.952421
36,100,150.54066
42,100,151.112856
43,100,151.695087
38,100,152.290833
32,100,152.881944
46,100,153.421844
39,100,153.959737
38,100,154.500274
34,100,155.041096
40,100,155.592505
40,100,156.124446
45,100,156.671727
38,100,157.237729
36,100,157.797142
38,100,158.348059
40,100,158.904514
37,100,159.455981
36,100,160.0027
41,100,160.549148
38,100,161.090767
39,100,161.624702
35,100,162.178605
34,100,162.727924
42,100,163.270759
42,100,163.821184
43,100,164.376667
43,100,164.924068
33,100,165.478111
39,100,166.036227
38,100,166.604516
43,100,167.15343
38,100,167.705088
43,100,168.261657
38,100,168.813725
44,100,169.365655
48,100,169.920662
41,100,170.476927
38,100,171.033881
34,100,171.592224
30,100,172.146261
49,100,172.702226
40,100,173.249887
41,100,173.807555
32,100,174.363702
35,100,174.918787
39,100,175.466911
39,100,176.019871
36,100,176.580682
43,100,177.131764
51,100,177.693607
45,100,178.245705
33,100,178.795545
33,100,179.346444
38,100,179.90088
46,100,180.458821
34,100,181.010952
35,100,181.568619
47,100,182.12167
35,100,182.68034
33,100,183.236156
42,100,183.791747
41,100,184.346123
37,100,184.899902
35,100,185.447727
45,100,186.00475
48,100,186.562267
42,100,187.123785
44,100,187.685608
50,100,188.232514
36,100,188.789171
30,100,189.340539
37,100,189.899715
38,100,190.46101
37,100,191.035589
42,100,191.571629
38,100,192.140982
46,100,192.679674
41,100,193.255975
36,100,193.818698
31,100,194.378668
45,100,194.922974
37,100,195.47854
43,100,196.048306
42,100,196.589833
37,100,197.146384
43,100,197.705681
36,100,198.26688
41,100,198.822327
42,100,199.362489
38,100,199.911824
48,100,200.471299
34,100,201.041717
40,100,201.589572
39,100,202.142119
37,100,202.692633
43,100,203.257046
41,100,203.810925
41,100,204.367678
33,100,204.940873
42,100,205.487774
41,100,206.031087
44,100,206.59176
35,100,207.156463
40,100,207.704159
41,100,208.244416
42,100,208.798734
40,100,209.356918
43,100,209.916246
39,100,210.485282
43,100,211.042764
32,100,211.592756
36,100,212.143607
37,100,212.699705
41,100,213.252855
34,100,213.811942
38,100,214.358611
44,100,214.91188
41,100,215.4627
45,100,216.020885
34,100,216.58872
36,100,217.159026
33,100,217.797478
33,100,218.465496
37,100,219.147828
45,100,219.705608
38,100,220.270415
48,100,220.826136
40,100,221.382717
33,100,221.937581
35,100,222.500913
44,100,223.068968
33,100,223.718402
41,100,224.324503
32,100,224.926798
36,100,225.578816
36,100,226.20426
38,100,226.779662
31,100,227.361712
37,100,227.944691
48,100,228.504252
41,100,229.100415
40,100,229.687907
39,100,230.285109
44,100,231.070706
46,100,231.701805
38,100,232.28348
44,100,232.854477
44,100,233.43612
33,100,234.042167
41,100,234.633408
45,100,235.351588
38,100,236.011285
42,100,236.563208
36,100,237.135284
40,100,237.720987
30,100,238.291218
44,100,238.855147
43,100,239.42168
45,100,240.016909
36,100,240.592716
42,100,241.166239
41,100,241.723465
37,100,242.294192
38,100,242.847585
36,100,243.405872
29,100,243.954717
42,100,244.503168
41,100,245.043816
38,100,245.605863
42,100,246.162141
41,100,246.727473
41,100,247.278317
34,100,247.845713
32,100,248.413023
42,100,248.964022
36,100,249.564288
42,100,250.132674
35,100,250.741811
37,100,251.366575
44,100,251.929434
48,100,252.493373
35,100,253.058973
39,100,253.637275
45,100,254.197645
40,100,254.764036
35,100,255.345853
44,100,255.901849
37,100,256.464001
39,100,257.012468
41,100,257.572805
40,100,258.132857
39,100,258.688871
33,100,259.248604
48,100,259.81582
45,100,260.389765
37,100,260.967545
46,100,261.526646
29,100,262.077098
38,100,262.653899
46,100,263.25303
38,100,263.876895
38,100,264.467871
33,100,265.02988
39,100,265.591749
34,100,266.16188
42,100,266.740823
33,100,267.316502
37,100,267.865238
36,100,268.441154
36,100,269.007262
37,100,269.596108
38,100,270.157349
39,100,270.708143
36,100,271.256316
40,100,271.816915
44,100,272.375068
46,100,272.941781
40,100,273.499047
46,100,274.05512
