#{"t_start": 1616709722.5863037, "env_id": null}
r,l,t
7,100,2.550778
6,100,3.354262
11,100,3.996118
15,100,4.608513
11,100,5.105115
12,100,5.623512
15,100,6.133752
16,100,6.636792
9,100,7.144912
10,100,7.645244
19,100,8.153913
14,100,8.661544
15,100,9.156914
20,100,9.647969
26,100,10.204496
27,100,10.854693
26,100,11.382336
25,100,11.96021
19,100,12.504237
21,100,13.045669
23,100,13.621412
24,100,14.215407
28,100,14.726362
23,100,15.307322
35,100,15.927994
26,100,16.516041
23,100,17.110973
24,100,17.747523
34,100,18.294958
23,100,18.845597
32,100,19.517252
27,100,20.098642
29,100,20.675386
21,100,21.406084
27,100,22.039913
29,100,22.685923
35,100,23.256029
27,100,23.786105
26,100,24.30832
27,100,24.821769
30,100,25.338155
38,100,26.073388
29,100,26.673774
31,100,27.297019
32,100,27.979478
27,100,28.525249
30,100,29.067681
30,100,29.582773
33,100,30.107836
30,100,30.646332
32,100,31.195427
30,100,31.707778
36,100,32.235176
31,100,32.832414
30,100,33.461025
34,100,33.983171
28,100,34.566033
21,100,35.249702
32,100,35.87484
34,100,36.516871
35,100,37.087352
34,100,37.638745
37,100,38.194664
40,100,38.745882
38,100,39.300452
35,100,39.854982
28,100,40.406856
35,100,40.962245
31,100,41.514201
42,100,42.0683
33,100,42.623879
29,100,43.177732
31,100,43.731678
31,100,44.283617
28,100,44.834359
35,100,45.383776
39,100,45.933304
32,100,46.484102
27,100,47.036349
36,100,47.586977
33,100,48.143537
34,100,48.692731
37,100,49.244952
40,100,49.797209
38,100,50.344625
37,100,50.897414
39,100,51.446277
33,100,51.995093
43,100,52.546063
33,100,53.098338
32,100,53.649315
38,100,54.206187
40,100,54.762229
37,100,55.315027
28,100,55.866029
37,100,56.41826
29,100,56.96619
38,100,57.517981
33,100,58.06826
37,100,58.621151
28,100,59.178097
41,100,59.730439
33,100,60.280062
41,100,60.829159
38,100,61.378039
37,100,61.928449
46,100,62.479343
33,100,63.030375
36,100,63.574998
33,100,64.122603
39,100,64.676275
37,100,65.231368
36,100,65.775208
31,100,66.326221
41,100,66.878773
36,100,67.431089
44,100,67.984538
40,100,68.530741
43,100,69.081529
34,100,69.62986
35,100,70.177538
31,100,70.738252
38,100,71.282418
37,100,71.836096
33,100,72.383863
37,100,72.935045
32,100,73.499182
36,100,74.059217
34,100,74.602632
33,100,75.142851
30,100,75.690721
40,100,76.243871
39,100,76.792882
43,100,77.348101
35,100,77.90228
37,100,78.452503
32,100,79.003633
35,100,79.560829
36,100,80.105625
34,100,80.661747
30,100,81.216657
36,100,81.769184
41,100,82.318833
34,100,82.867581
39,100,83.420721
38,100,83.976601
41,100,84.528152
43,100,85.075301
35,100,85.633935
46,100,86.188684
32,100,86.743224
39,100,87.292543
26,100,87.84503
45,100,88.394785
47,100,88.952591
31,100,89.511155
31,100,90.062489
31,100,90.61114
34,100,91.163437
40,100,91.712973
35,100,92.268783
37,100,92.819016
37,100,93.372431
36,100,93.924766
37,100,94.47596
35,100,95.031414
34,100,95.582696
36,100,96.138447
29,100,96.68812
42,100,97.239203
42,100,97.794416
34,100,98.349637
36,100,98.899079
30,100,99.45043
33,100,100.003888
43,100,100.566282
31,100,101.105434
39,100,101.653766
41,100,102.205411
31,100,102.757437
42,100,103.31167
34,100,103.864407
39,100,104.409806
38,100,104.972278
42,100,105.526488
35,100,106.07667
48,100,106.629314
34,100,107.175685
44,100,107.745829
31,100,108.344639
32,100,108.921253
40,100,109.493164
39,100,110.065241
36,100,110.638975
37,100,111.220544
34,100,111.820618
37,100,112.40801
37,100,112.993346
38,100,113.553065
45,100,114.125646
36,100,114.701103
34,100,115.273414
35,100,115.860349
42,100,116.451093
33,100,117.025869
37,100,117.601952
38,100,118.174728
41,100,118.75328
34,100,119.346099
32,100,119.934521
39,100,120.50579
34,100,121.083527
37,100,121.676212
41,100,122.269033
45,100,122.849604
40,100,123.444431
38,100,124.011427
44,100,124.593732
41,100,125.161291
33,100,125.750019
42,100,126.315039
33,100,126.88062
41,100,127.45488
33,100,128.04775
33,100,128.618274
34,100,129.191123
42,100,129.763357
30,100,130.337748
37,100,130.909873
35,100,131.490928
38,100,132.094003
29,100,132.679779
33,100,133.2714
43,100,133.85703
36,100,134.437367
44,100,135.019443
44,100,135.605656
46,100,136.199851
48,100,136.756226
35,100,137.318196
38,100,137.912538
45,100,138.497159
35,100,139.072514
31,100,139.638736
28,100,140.235389
42,100,140.826824
42,100,141.402418
41,100,141.981187
29,100,142.539646
33,100,143.131331
34,100,143.728477
41,100,144.312795
41,100,144.898614
41,100,145.485591
39,100,146.049187
39,100,146.627793
34,100,147.20963
42,100,147.778284
39,100,148.341042
40,100,148.914676
30,100,149.501464
37,100,150.095957
39,100,150.68372
40,100,151.256317
37,100,151.838714
39,100,152.43464
41,100,153.024845
39,100,153.565755
37,100,154.103611
40,100,154.644045
37,100,155.184958
38,100,155.736323
48,100,156.268285
43,100,156.814886
39,100,157.381238
36,100,157.940518
39,100,158.491783
43,100,159.048152
43,100,159.599793
37,100,160.146645
35,100,160.692894
37,100,161.234617
38,100,161.768407
37,100,162.322272
44,100,162.871115
40,100,163.414892
31,100,163.964906
31,100,164.520487
43,100,165.067846
39,100,165.621778
40,100,166.180017
40,100,166.748259
41,100,167.297533
29,100,167.848699
40,100,168.4048
36,100,168.957445
47,100,169.509754
28,100,170.064326
45,100,170.62048
37,100,171.177833
39,100,171.735568
