#{"t_start": 1617129577.744288, "env_id": null}
r,l,t
16,100,3.75531
15,100,4.385809
11,100,4.916632
15,100,5.448676
13,100,5.975716
20,100,6.507237
21,100,7.032793
12,100,7.553102
22,100,8.068294
16,100,8.586872
12,100,9.106087
25,100,9.624122
24,100,10.139416
32,100,10.669719
19,100,11.188745
21,100,11.701857
15,100,12.232195
29,100,12.756818
21,100,13.273263
21,100,13.7857
29,100,14.313832
27,100,14.829702
26,100,15.342502
24,100,15.858467
26,100,16.376838
23,100,16.949103
23,100,17.509378
30,100,18.048252
24,100,18.655782
28,100,19.220267
26,100,19.816488
25,100,20.41014
29,100,20.950825
28,100,21.517266
24,100,22.085562
25,100,22.642798
26,100,23.186729
24,100,23.734379
33,100,24.37342
39,100,24.993082
33,100,25.581324
26,100,26.147185
29,100,26.732925
31,100,27.313423
23,100,27.893724
29,100,28.4879
37,100,29.103678
27,100,29.689849
33,100,30.306338
34,100,30.902452
28,100,31.488625
29,100,32.0711
37,100,32.661196
31,100,33.348573
39,100,34.082346
33,100,34.803281
32,100,35.500986
36,100,36.365076
40,100,37.025026
33,100,37.833711
32,100,38.62847
33,100,39.377621
34,100,40.241201
29,100,41.143359
33,100,41.926296
33,100,42.711531
37,100,43.505842
30,100,44.198933
39,100,44.925448
33,100,45.662052
32,100,46.348209
38,100,47.039874
32,100,47.660167
37,100,48.252357
31,100,48.833494
34,100,49.429525
32,100,50.029895
31,100,50.625603
31,100,51.209787
31,100,51.795808
27,100,52.384899
28,100,52.964973
42,100,53.561857
42,100,54.138285
38,100,54.722667
23,100,55.308412
28,100,55.881853
42,100,56.460629
35,100,57.03474
39,100,57.616523
22,100,58.19569
39,100,58.767945
33,100,59.338887
39,100,59.925681
34,100,60.505364
36,100,61.084821
43,100,61.664077
35,100,62.287373
33,100,62.873852
42,100,63.447698
24,100,64.02722
33,100,64.60397
39,100,65.224809
32,100,65.84214
36,100,66.429039
32,100,67.00472
33,100,67.58533
34,100,68.165508
35,100,68.740775
39,100,69.316546
29,100,69.900368
47,100,70.477294
35,100,71.086167
35,100,71.704167
28,100,72.282352
36,100,72.864912
39,100,73.440363
38,100,74.0151
32,100,74.591056
38,100,75.177778
41,100,75.77373
35,100,76.388333
38,100,77.009918
36,100,77.591505
34,100,78.171329
40,100,78.751114
33,100,79.327615
36,100,79.90618
39,100,80.481065
42,100,81.056363
35,100,81.635235
26,100,82.210034
31,100,82.788615
40,100,83.373842
39,100,83.954778
34,100,84.53399
34,100,85.111248
35,100,85.689078
41,100,86.278156
32,100,86.859622
40,100,87.436125
38,100,88.012535
32,100,88.584313
40,100,89.175203
37,100,89.798052
32,100,90.40064
38,100,91.019843
