#{"t_start": 1617129578.595, "env_id": null}
r,l,t
9,100,2.904951
20,100,3.535927
21,100,4.066814
13,100,4.598863
21,100,5.126012
13,100,5.657281
13,100,6.182834
23,100,6.702412
16,100,7.218945
15,100,7.736916
17,100,8.255812
18,100,8.774677
23,100,9.28948
18,100,9.819817
25,100,10.338428
19,100,10.851925
28,100,11.381756
29,100,11.906959
18,100,12.423738
23,100,12.935877
19,100,13.463796
22,100,13.979761
21,100,14.493037
31,100,15.008562
21,100,15.526919
28,100,16.0988
33,100,16.65991
35,100,17.198352
30,100,17.805388
25,100,18.370361
20,100,18.96717
29,100,19.559831
22,100,20.10102
28,100,20.667946
27,100,21.235598
30,100,21.792881
24,100,22.336834
32,100,22.88453
38,100,23.523162
38,100,24.142269
19,100,24.73149
35,100,25.296953
25,100,25.883633
28,100,26.463642
29,100,27.043693
31,100,27.638147
31,100,28.254247
32,100,28.839845
38,100,29.456964
28,100,30.052507
26,100,30.638884
25,100,31.221389
34,100,31.811396
32,100,32.498996
34,100,33.232588
25,100,33.953403
29,100,34.650753
32,100,35.515456
32,100,36.176215
39,100,36.984932
31,100,37.777269
23,100,38.527945
30,100,39.391298
29,100,40.292748
35,100,41.076169
34,100,41.86302
33,100,42.656059
37,100,43.349098
33,100,44.075704
27,100,44.813263
35,100,45.498436
39,100,46.19012
35,100,46.810827
35,100,47.402979
30,100,47.983665
37,100,48.579615
31,100,49.17961
28,100,49.775783
43,100,50.360589
24,100,50.946663
32,100,51.53508
25,100,52.114756
37,100,52.712118
26,100,53.288451
34,100,53.872915
39,100,54.459188
35,100,55.032017
36,100,55.610642
29,100,56.184949
34,100,56.76672
35,100,57.345847
24,100,57.918446
39,100,58.489666
37,100,59.075818
36,100,59.655499
34,100,60.234983
36,100,60.814342
31,100,61.437557
40,100,62.023982
31,100,62.597864
40,100,63.17777
32,100,63.754003
36,100,64.375436
36,100,64.992378
29,100,65.579331
40,100,66.15492
32,100,66.735491
36,100,67.315729
32,100,67.890497
36,100,68.466696
20,100,69.05051
32,100,69.627379
33,100,70.235916
38,100,70.85423
40,100,71.432559
41,100,72.015049
32,100,72.590568
36,100,73.165253
40,100,73.741118
32,100,74.327899
32,100,74.924024
32,100,75.53964
39,100,76.160493
30,100,76.742291
29,100,77.32141
36,100,77.901507
35,100,78.477799
33,100,79.056329
45,100,79.631235
50,100,80.206885
34,100,80.78497
32,100,81.360177
46,100,81.938772
39,100,82.523835
34,100,83.105534
35,100,83.684154
32,100,84.260801
32,100,84.839276
34,100,85.428343
35,100,86.009647
35,100,86.586154
26,100,87.162606
29,100,87.734444
33,100,88.325125
37,100,88.948278
39,100,89.551128
30,100,90.169724
34,100,90.796072
41,100,91.441108
32,100,92.061566
32,100,92.663602
29,100,93.282667
36,100,93.903188
31,100,94.488925
37,100,95.071356
38,100,95.656045
30,100,96.239706
37,100,96.814872
26,100,97.392704
34,100,97.970505
32,100,98.549441
40,100,99.155738
37,100,99.742333
39,100,100.322986
32,100,101.000708
35,100,101.726771
37,100,102.346471
36,100,102.931044
31,100,103.588972
37,100,104.279472
37,100,104.889199
36,100,105.468279
37,100,106.051027
41,100,106.647858
39,100,107.310606
43,100,107.983079
37,100,108.588811
42,100,109.171605
41,100,109.752429
47,100,110.328939
31,100,110.915328
43,100,111.497987
39,100,112.077664
40,100,112.656293
41,100,113.237246
33,100,113.821259
38,100,114.398602
42,100,114.979787
31,100,115.55347
48,100,116.137393
36,100,116.720479
37,100,117.299564
35,100,117.882259
39,100,118.459975
32,100,119.040456
32,100,119.618613
30,100,120.195396
37,100,120.769536
35,100,121.348663
42,100,121.929224
42,100,122.512649
34,100,123.0909
45,100,123.671704
40,100,124.253552
31,100,124.828464
35,100,125.408011
48,100,125.987805
32,100,126.566776
38,100,127.147045
35,100,127.744593
45,100,128.390241
38,100,129.052639
38,100,129.655767
40,100,130.304483
34,100,130.895764
32,100,131.488301
34,100,132.213809
41,100,132.850909
28,100,133.435797
31,100,134.016737
35,100,134.608703
38,100,135.195691
36,100,135.776909
36,100,136.369721
43,100,136.963583
43,100,137.56612
38,100,138.145457
39,100,138.73285
33,100,139.31633
41,100,139.905631
42,100,140.493667
34,100,141.074754
35,100,141.661069
42,100,142.247047
41,100,142.829894
34,100,143.423177
37,100,144.007407
37,100,144.594214
38,100,145.180612
38,100,145.764066
35,100,146.354175
29,100,146.940285
30,100,147.524054
42,100,148.108417
37,100,148.691642
41,100,149.283784
38,100,149.869704
31,100,150.451401
39,100,151.03482
41,100,151.619018
38,100,152.210118
38,100,152.897938
36,100,153.587807
33,100,154.205968
38,100,154.820465
34,100,155.407465
32,100,155.987786
38,100,156.569555
26,100,157.153841
34,100,157.737216
35,100,158.318023
42,100,158.904342
41,100,159.487404
29,100,160.071964
32,100,160.656519
44,100,161.244937
48,100,161.83011
37,100,162.414554
43,100,163.009556
36,100,163.596411
49,100,164.184308
36,100,164.768427
29,100,165.356596
32,100,165.943426
41,100,166.526796
42,100,167.113481
36,100,167.696161
43,100,168.398195
41,100,169.093659
45,100,169.784223
38,100,170.502439
40,100,171.260246
43,100,171.858415
42,100,172.448289
42,100,173.037648
35,100,173.624486
40,100,174.214109
40,100,174.812674
41,100,175.483512
38,100,176.078434
32,100,176.666806
41,100,177.254759
44,100,177.843178
33,100,178.429602
46,100,179.056205
30,100,179.645911
39,100,180.22958
35,100,180.816465
32,100,181.401025
27,100,181.987593
28,100,182.581477
36,100,183.164591
44,100,183.752497
36,100,184.343748
44,100,184.931438
33,100,185.522718
43,100,186.111625
35,100,186.695305
37,100,187.317769
43,100,187.934748
39,100,188.527611
44,100,189.111147
34,100,189.700465
45,100,190.287219
39,100,190.873696
45,100,191.464446
46,100,192.045696
39,100,192.629156
44,100,193.211984
39,100,193.798563
34,100,194.385391
41,100,194.967617
50,100,195.549173
33,100,196.133954
38,100,196.717231
42,100,197.308563
40,100,197.906952
34,100,198.514362
34,100,199.099637
40,100,199.722369
40,100,200.336875
38,100,200.947549
37,100,201.546256
33,100,202.162128
40,100,202.771427
34,100,203.364906
40,100,203.94694
42,100,204.533492
36,100,205.118925
43,100,205.702111
39,100,206.291817
34,100,206.882847
41,100,207.467491
45,100,208.051583
40,100,208.634124
42,100,209.221415
35,100,209.808121
43,100,210.393239
40,100,211.006831
40,100,211.617528
34,100,212.23204
47,100,212.834571
37,100,213.435247
44,100,214.029032
38,100,214.614562
32,100,215.213549
46,100,215.805084
39,100,216.394922
38,100,216.978306
37,100,217.565026
36,100,218.156224
52,100,218.746052
39,100,219.336266
30,100,219.91614
35,100,220.503711
36,100,221.088916
35,100,221.672175
41,100,222.255216
39,100,222.843567
52,100,223.424136
41,100,224.011136
36,100,224.598516
34,100,225.183779
43,100,225.7668
42,100,226.351678
35,100,226.938275
36,100,227.528098
45,100,228.11741
31,100,228.70015
33,100,229.285983
41,100,229.87588
41,100,230.461182
43,100,231.045635
38,100,231.627232
49,100,232.209767
29,100,232.79835
39,100,233.379744
30,100,233.968466
32,100,234.555101
36,100,235.136454
41,100,235.719584
43,100,236.303563
38,100,236.888562
41,100,237.474993
41,100,238.05936
40,100,238.644916
32,100,239.235418
35,100,239.821115
40,100,240.406825
42,100,240.991593
40,100,241.574172
38,100,242.160092
36,100,242.745322
37,100,243.331987
35,100,243.926764
39,100,244.510212
43,100,245.097535
36,100,245.67711
42,100,246.256052
34,100,246.841056
38,100,247.424603
38,100,248.005707
38,100,248.584682
31,100,249.167021
43,100,249.752705
40,100,250.341959
41,100,250.92443
43,100,251.506964
46,100,252.086464
43,100,252.669394
28,100,253.252086
36,100,253.837108
41,100,254.416859
39,100,254.999146
39,100,255.582528
37,100,256.167561
42,100,256.751458
33,100,257.340054
40,100,257.92646
44,100,258.511986
32,100,259.099228
43,100,259.684662
39,100,260.266519
33,100,260.858718
35,100,261.445499
33,100,262.030964
46,100,262.616171
28,100,263.201307
35,100,263.789474
43,100,264.375976
40,100,264.967191
45,100,265.55003
41,100,266.136305
40,100,266.720302
34,100,267.30603
43,100,267.887753
30,100,268.474682
42,100,269.058937
40,100,269.646244
34,100,270.23283
42,100,270.833951
33,100,271.3967
41,100,271.985939
43,100,272.569679
37,100,273.153936
38,100,273.743113
36,100,274.327296
42,100,274.913467
40,100,275.498672
37,100,276.084581
45,100,276.671618
39,100,277.256933
36,100,277.845722
45,100,278.430164
39,100,279.035759
47,100,279.624474
44,100,280.211743
45,100,280.800076
43,100,281.388239
37,100,281.972137
41,100,282.558027
44,100,283.138198
43,100,283.72226
35,100,284.311962
41,100,284.898624
33,100,285.493101
35,100,286.147535
36,100,286.732918
39,100,287.327591
46,100,287.906184
34,100,288.494509
42,100,289.077307
40,100,289.668153
37,100,290.250865
39,100,290.840683
35,100,291.431983
39,100,292.015567
35,100,292.603565
40,100,293.193302
37,100,293.780361
38,100,294.374225
37,100,294.960944
34,100,295.548121
34,100,296.13646
39,100,296.724727
43,100,297.324465
37,100,297.905258
39,100,298.487548
37,100,299.073271
39,100,299.699045
45,100,300.307493
42,100,300.896345
39,100,301.480155
37,100,302.060163
40,100,302.682118
44,100,303.310463
39,100,303.899373
39,100,304.49898
35,100,305.088017
36,100,305.673648
42,100,306.263097
37,100,306.852968
41,100,307.440644
45,100,308.025871
35,100,308.607604
42,100,309.194876
36,100,309.78034
42,100,310.368716
43,100,310.957564
46,100,311.55019
34,100,312.136408
34,100,312.72104
37,100,313.30904
44,100,313.889556
43,100,314.472736
48,100,315.061037
35,100,315.645945
29,100,316.230279
38,100,316.819915
32,100,317.404124
37,100,317.993237
37,100,318.572805
39,100,319.158989
41,100,319.744089
36,100,320.330845
43,100,320.923706
40,100,321.512929
37,100,322.133654
38,100,322.750944
38,100,323.352542
36,100,323.938517
41,100,324.517462
37,100,325.105789
37,100,325.689837
39,100,326.277092
45,100,326.850159
41,100,327.433607
38,100,328.017041
40,100,328.598153
46,100,329.181174
41,100,329.764877
37,100,330.345876
38,100,330.927416
43,100,331.507745
39,100,332.093166
38,100,332.684827
36,100,333.265369
46,100,333.850868
50,100,334.432149
48,100,335.017912
33,100,335.601709
36,100,336.190701
38,100,336.779242
43,100,337.367588
30,100,337.955479
34,100,338.542855
41,100,339.130997
40,100,339.711292
35,100,340.313007
39,100,340.92369
34,100,341.52423
45,100,342.127011
37,100,342.714269
35,100,343.299984
45,100,343.894383
40,100,344.472886
38,100,345.053414
51,100,345.639239
38,100,346.223533
34,100,346.810602
47,100,347.397799
35,100,347.990852
41,100,348.569097
36,100,349.157066
41,100,349.782911
41,100,350.358262
43,100,350.955592
42,100,351.561872
36,100,352.162252
42,100,352.761014
34,100,353.357698
47,100,353.945799
42,100,354.530179
34,100,355.113788
39,100,355.698065
40,100,356.28924
43,100,356.875619
36,100,357.460953
38,100,358.05005
36,100,358.63616
34,100,359.221575
32,100,359.814229
39,100,360.3997
37,100,360.985825
39,100,361.587241
35,100,362.172818
42,100,362.74994
49,100,363.33586
32,100,363.927151
43,100,364.505064
38,100,365.093135
37,100,365.670605
32,100,366.262012
35,100,366.849714
41,100,367.460827
41,100,368.076855
37,100,368.654118
37,100,369.237242
33,100,369.818925
42,100,370.398601
43,100,370.983471
44,100,371.566932
45,100,372.168451
47,100,372.754045
39,100,373.331974
40,100,373.907367
49,100,374.48721
41,100,375.085734
43,100,375.669029
44,100,376.259075
43,100,376.827452
53,100,377.415363
31,100,377.999652
39,100,378.581303
41,100,379.162456
39,100,379.745881
36,100,380.37129
43,100,380.997313
38,100,381.606319
41,100,382.201041
39,100,382.803825
33,100,383.406294
34,100,383.997903
40,100,384.577082
33,100,385.161024
42,100,385.753995
46,100,386.34467
44,100,386.932176
33,100,387.522163
35,100,388.109056
34,100,388.697165
36,100,389.284337
43,100,389.869772
