#{"t_start": 1617373875.8323271, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
1.0,173,3.354451
0.0,125,4.547993
1.0,174,6.247671
0.0,129,7.526503
0.0,125,8.719486
3.0,210,10.830619
1.0,158,12.340033
1.0,155,13.911788
1.0,175,15.642162
0.0,129,16.820353
4.0,299,19.809227
2.0,202,21.822213
0.0,129,22.996451
0.0,125,24.180133
3.0,248,26.499309
0.0,125,27.696257
0.0,127,28.932862
1.0,175,30.711023
0.0,127,31.975573
0.0,129,33.273999
1.0,175,34.995852
2.0,224,37.267511
0.0,127,38.472008
1.0,176,40.14125
0.0,125,41.346086
0.0,127,42.541563
0.0,129,43.816677
0.0,123,45.030966
3.0,237,47.496073
1.0,173,49.170025
1.0,157,50.789083
0.0,125,52.066536
3.0,248,54.802222
2.0,203,56.979851
0.0,127,58.243116
3.0,250,60.799774
0.0,127,62.063235
1.0,173,63.661546
1.0,174,65.370255
2.0,187,67.19506
2.0,220,69.35167
0.0,127,70.522783
0.0,129,71.701361
1.0,175,73.403624
4.0,299,76.419118
0.0,129,77.752355
5.0,350,81.536479
0.0,129,82.778786
3.0,250,85.391462
0.0,127,86.615929
0.0,129,88.013946
3.0,236,90.591159
0.0,125,91.832386
2.0,219,94.109972
3.0,234,96.490642
1.0,176,98.252539
3.0,248,100.946423
6.0,398,104.978424
0.0,127,106.220412
0.0,129,107.411349
3.0,271,110.161985
5.0,329,113.632386
3.0,275,116.429963
0.0,127,117.734782
5.0,350,121.404385
3.0,246,123.903918
4.0,297,126.901956
5.0,350,130.641195
4.0,301,133.656762
0.0,129,134.873667
0.0,125,136.032061
0.0,125,137.142924
0.0,129,138.29181
1.0,155,139.810057
3.0,230,142.173438
3.0,246,144.615623
2.0,225,146.93062
6.0,380,150.839941
1.0,171,152.551956
2.0,227,154.703218
5.0,327,158.024862
3.0,267,160.892956
2.0,185,162.841785
2.0,201,164.993488
0.0,127,166.178918
0.0,127,167.383931
4.0,293,170.460662
0.0,129,171.754462
2.0,202,173.722651
0.0,125,174.886616
0.0,125,176.06594
9.0,404,180.137921
5.0,350,183.716407
3.0,246,186.229043
1.0,171,187.969331
5.0,350,191.614817
2.0,223,193.966368
2.0,205,195.881073
4.0,299,198.757539
0.0,129,199.929326
3.0,251,202.503384
7.0,391,206.422403
1.0,155,207.954098
2.0,202,210.017925
0.0,129,211.279484
1.0,157,212.85401
1.0,155,214.272807
1.0,157,215.796308
2.0,201,217.805705
3.0,250,220.404041
0.0,127,221.641871
9.0,404,225.912284
0.0,129,227.201231
5.0,350,230.818253
1.0,173,232.550553
2.0,202,234.554303
0.0,129,235.896765
3.0,252,238.496511
1.0,172,240.222468
2.0,187,242.129618
2.0,200,244.107589
2.0,204,246.05633
4.0,296,248.899815
0.0,127,250.062089
0.0,129,251.211125
1.0,175,252.802748
0.0,129,253.937431
6.0,382,257.673383
0.0,129,258.928504
0.0,127,260.224198
2.0,203,262.19195
3.0,250,264.717729
1.0,155,266.179918
0.0,127,267.381893
2.0,201,269.362577
1.0,157,270.879128
1.0,174,272.583102
1.0,177,274.351664
14.0,464,278.905354
1.0,155,280.392321
1.0,158,281.928146
9.0,404,286.072406
2.0,202,288.137819
3.0,233,290.470972
6.0,399,294.667145
5.0,350,298.229846
2.0,202,300.229769
3.0,254,302.709806
0.0,129,303.967817
0.0,129,305.129549
4.0,261,307.621943
2.0,202,309.576705
3.0,250,312.066932
3.0,274,314.769425
3.0,250,317.183374
0.0,129,318.413424
1.0,171,320.036201
0.0,127,321.262877
1.0,178,323.041005
5.0,350,326.687857
1.0,175,328.350727
1.0,175,330.141001
2.0,203,332.158222
3.0,273,334.926253
2.0,187,336.851147
5.0,350,340.403865
5.0,345,343.733727
6.0,399,347.657584
2.0,201,349.462827
5.0,350,352.818864
5.0,350,356.319029
3.0,252,358.939231
5.0,353,362.433327
5.0,352,365.999191
3.0,255,368.463718
0.0,129,369.645597
4.0,275,372.249384
5.0,295,375.013985
0.0,127,376.228916
1.0,175,377.897257
9.0,405,382.022961
2.0,225,384.236192
3.0,230,386.478209
10.0,453,390.977818
2.0,203,392.968335
2.0,204,394.865498
7.0,390,398.84014
4.0,302,401.888673
6.0,345,405.332838
4.0,279,408.031982
3.0,279,410.926058
5.0,309,414.010397
2.0,185,415.831049
12.0,508,420.984726
9.0,327,424.239651
1.0,157,425.695125
7.0,397,429.785836
6.0,331,433.105347
2.0,225,435.275187
10.0,451,439.684192
3.0,254,442.145877
7.0,250,444.460299
6.0,364,448.029765
0.0,129,449.28377
12.0,484,453.897855
5.0,338,457.024066
6.0,362,460.523978
3.0,214,462.555666
0.0,129,463.847206
5.0,330,467.198206
1.0,155,468.668894
2.0,188,470.439385
3.0,234,472.646015
4.0,243,474.998391
9.0,515,480.187861
4.0,260,482.662531
10.0,436,487.004905
4.0,316,490.229748
7.0,396,494.177778
2.0,187,496.025366
3.0,232,498.303658
12.0,304,501.37628
8.0,424,505.622369
4.0,268,508.282171
10.0,555,513.723653
2.0,203,515.757137
7.0,250,518.180669
7.0,420,522.329409
9.0,442,526.702175
10.0,452,531.253239
7.0,394,535.151156
4.0,270,537.746936
7.0,358,541.268203
12.0,530,546.587428
3.0,214,548.630361
7.0,382,552.406201
4.0,281,555.222489
17.0,583,560.904867
19.0,625,567.045637
5.0,329,570.272439
3.0,230,572.525856
11.0,464,577.159877
8.0,454,581.843015
4.0,282,584.696924
6.0,339,588.111319
8.0,402,592.090553
16.0,581,597.875508
12.0,573,603.591197
4.0,258,606.099211
11.0,482,610.859507
6.0,354,614.296249
6.0,401,618.230189
11.0,498,623.23275
9.0,466,627.667653
14.0,395,631.556003
5.0,348,634.924842
20.0,716,641.96757
5.0,340,645.326754
15.0,594,651.255858
5.0,327,654.501884
5.0,295,657.309509
10.0,445,661.725443
7.0,370,665.424255
8.0,411,669.525125
9.0,499,674.457786
11.0,271,676.999328
6.0,375,680.801523
8.0,380,684.691043
20.0,731,692.095679
2.0,184,693.867515
12.0,542,699.135663
10.0,528,704.155392
11.0,514,709.120758
16.0,635,715.539004
11.0,400,719.640375
6.0,381,723.27488
8.0,430,727.439883
7.0,411,731.594645
9.0,504,736.595933
14.0,575,742.450479
6.0,322,745.553581
13.0,555,751.119108
9.0,470,755.820418
20.0,650,762.3824
8.0,410,766.556322
15.0,666,773.234461
4.0,286,776.03928
9.0,428,780.300202
11.0,547,785.689942
8.0,484,790.576147
3.0,219,792.728427
4.0,325,795.965985
25.0,751,803.486823
3.0,241,805.907521
7.0,322,809.166652
5.0,306,812.13462
9.0,354,815.599545
5.0,346,819.049529
8.0,437,823.326577
9.0,509,828.204506
9.0,518,833.319402
20.0,622,839.473927
7.0,418,843.615496
9.0,326,846.791764
22.0,692,853.793745
2.0,204,855.837565
4.0,281,858.652106
8.0,419,862.811809
11.0,511,867.852235
6.0,331,871.028174
12.0,472,875.709404
20.0,760,883.204579
16.0,419,887.327014
11.0,540,892.882715
