#{"t_start": 1617373875.8369348, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
1.0,173,3.349792
3.0,227,5.592563
0.0,127,6.842311
4.0,282,9.777854
3.0,251,12.256078
0.0,127,13.545237
0.0,127,14.788175
2.0,227,17.000883
1.0,173,18.702378
1.0,172,20.329054
0.0,123,21.492226
0.0,129,22.663589
0.0,129,23.894251
3.0,248,26.196971
1.0,175,27.944209
0.0,129,29.215651
1.0,176,30.999134
1.0,155,32.567425
1.0,174,34.29733
1.0,177,36.111611
0.0,125,37.311247
2.0,200,39.243672
2.0,202,41.223377
0.0,129,42.45082
0.0,129,43.722514
1.0,175,45.495782
1.0,155,47.049748
2.0,219,49.267484
1.0,155,50.865882
1.0,173,52.695402
0.0,127,54.031041
1.0,153,55.677317
2.0,223,57.993481
0.0,129,59.265875
0.0,127,60.471228
0.0,125,61.709525
2.0,200,63.596233
0.0,123,64.733562
3.0,270,67.516389
3.0,236,69.769153
2.0,198,71.698087
0.0,129,72.914969
2.0,200,74.930858
2.0,202,76.885622
0.0,129,78.19985
0.0,127,79.503257
0.0,127,80.762746
0.0,127,82.031381
0.0,129,83.29265
1.0,175,85.049502
2.0,198,87.153303
2.0,202,89.33571
0.0,129,90.708355
2.0,225,92.981034
4.0,277,95.846493
0.0,129,97.168941
3.0,250,99.784987
4.0,301,102.865346
1.0,178,104.601663
2.0,198,106.661456
2.0,198,108.569999
0.0,125,109.760095
0.0,129,111.012532
1.0,173,112.683014
0.0,129,114.006375
5.0,350,117.704159
0.0,125,118.907657
0.0,129,120.1658
3.0,250,122.774186
6.0,397,126.807829
4.0,299,129.955516
9.0,404,134.11295
0.0,129,135.355585
0.0,129,136.516221
2.0,202,138.393872
0.0,127,139.607937
5.0,350,143.270107
4.0,296,146.264389
0.0,127,147.516938
1.0,171,149.196566
2.0,202,151.197384
10.0,433,155.585711
2.0,200,157.529253
0.0,129,158.84291
1.0,173,160.6079
0.0,127,161.888867
1.0,155,163.545992
0.0,129,164.854697
2.0,200,166.811584
3.0,245,169.298666
0.0,127,170.602787
4.0,299,173.637785
9.0,404,177.733804
0.0,129,178.896316
0.0,125,180.105013
0.0,127,181.350708
3.0,247,183.79597
0.0,129,184.992548
0.0,129,186.295546
4.0,279,189.193043
6.0,380,193.201966
4.0,299,196.195852
3.0,230,198.385195
3.0,220,200.481081
3.0,252,203.050755
3.0,250,205.46327
0.0,127,206.697764
1.0,178,208.462897
1.0,157,210.04153
1.0,157,211.619791
2.0,203,213.638341
3.0,252,216.110487
0.0,129,217.32455
6.0,397,221.530542
0.0,129,222.817404
0.0,127,224.082805
0.0,129,225.344801
0.0,125,226.509118
0.0,129,227.854137
1.0,155,229.365612
2.0,202,231.383448
4.0,280,234.188962
1.0,157,235.824403
3.0,253,238.442461
3.0,231,240.883471
0.0,129,242.094142
0.0,127,243.348192
2.0,202,245.295345
1.0,176,246.953729
3.0,248,249.260801
6.0,379,252.951368
16.0,602,258.981345
1.0,176,260.782497
5.0,296,263.718589
0.0,127,264.921653
3.0,251,267.438579
3.0,248,269.892783
3.0,227,272.121725
9.0,404,276.317794
3.0,248,278.604775
5.0,350,282.194033
1.0,157,283.703634
0.0,129,284.91273
5.0,345,288.516729
2.0,200,290.517472
3.0,247,293.055539
9.0,382,296.883724
0.0,127,298.150879
2.0,223,300.381469
0.0,129,301.547927
2.0,185,303.416154
6.0,379,307.120056
9.0,404,311.191591
6.0,396,315.176281
2.0,204,317.067969
1.0,155,318.60085
2.0,202,320.562576
9.0,404,324.825705
4.0,281,327.639882
0.0,129,328.884108
1.0,176,330.655874
3.0,268,333.257624
1.0,159,334.881008
6.0,401,339.090463
5.0,350,342.532289
3.0,248,344.908879
0.0,127,346.08539
0.0,129,347.264013
0.0,129,348.350833
7.0,428,352.447265
2.0,204,354.398349
0.0,129,355.60115
1.0,155,357.119251
3.0,276,359.946723
3.0,237,362.22574
3.0,248,364.714955
2.0,184,366.50461
2.0,205,368.41831
0.0,129,369.599981
3.0,231,371.797465
4.0,295,374.54583
1.0,155,376.033367
2.0,206,378.05923
4.0,277,380.781531
11.0,416,385.031343
5.0,350,388.416785
3.0,277,391.213408
9.0,506,396.304171
6.0,362,399.940132
3.0,218,402.125541
5.0,329,405.403637
8.0,372,409.099756
3.0,216,411.30891
8.0,297,414.288508
7.0,373,418.021367
9.0,382,421.893183
1.0,174,423.527864
3.0,229,425.754372
2.0,225,428.015777
5.0,309,431.105455
3.0,216,433.254443
6.0,332,436.479956
5.0,326,439.606251
5.0,333,442.902838
8.0,279,445.529243
5.0,294,448.414692
11.0,466,452.905218
12.0,449,457.144818
5.0,314,460.129063
0.0,129,461.288447
2.0,199,463.293553
6.0,357,466.892633
7.0,248,469.348105
6.0,369,472.940494
7.0,393,476.839084
6.0,305,479.832927
15.0,526,485.022278
2.0,204,487.065122
6.0,331,490.418143
9.0,473,495.16385
10.0,455,499.844663
5.0,329,503.059494
6.0,344,506.58503
8.0,483,511.464203
11.0,444,515.822495
4.0,281,518.567726
11.0,271,521.182315
7.0,447,525.567557
2.0,188,527.403915
11.0,271,530.044724
9.0,494,534.982475
5.0,294,537.847499
6.0,347,541.213357
5.0,311,544.307688
3.0,233,546.538887
7.0,412,550.652224
6.0,398,554.64134
4.0,281,557.393502
14.0,560,562.812845
12.0,304,565.751323
7.0,405,569.638059
19.0,346,573.109415
14.0,508,578.294692
5.0,314,581.456904
8.0,277,584.220411
8.0,419,588.503313
6.0,342,591.86025
5.0,328,595.050653
16.0,668,601.708908
7.0,407,605.789694
8.0,350,609.123038
9.0,334,612.42894
9.0,331,615.679039
3.0,229,617.88083
16.0,501,622.86271
11.0,449,627.145083
14.0,366,630.723338
10.0,395,634.584126
4.0,280,637.25128
7.0,427,641.347615
11.0,505,646.4702
6.0,360,649.940737
11.0,271,652.611956
