#{"t_start": 1617373875.8799193, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,129,2.836953
3.0,250,5.32609
0.0,129,6.602575
1.0,155,8.132422
0.0,127,9.362902
5.0,330,12.759926
2.0,184,14.61704
3.0,250,17.100906
1.0,155,18.58966
0.0,127,19.734051
1.0,156,21.283567
0.0,129,22.451328
0.0,129,23.687142
4.0,300,26.535048
3.0,250,29.103522
1.0,155,30.662074
0.0,127,31.927965
0.0,125,33.154578
0.0,125,34.350855
0.0,129,35.651931
1.0,155,37.133025
2.0,200,39.081606
1.0,176,40.782532
1.0,177,42.552322
0.0,129,43.822268
0.0,125,45.052756
0.0,125,46.223849
3.0,228,48.555363
0.0,129,49.831975
0.0,127,51.187774
1.0,153,52.763983
0.0,129,54.115535
2.0,182,56.070922
0.0,129,57.343388
2.0,201,59.427652
2.0,201,61.439543
1.0,153,62.906024
0.0,129,64.07554
0.0,127,65.263183
1.0,176,67.001607
0.0,127,68.27124
3.0,230,70.424172
1.0,155,71.924458
2.0,202,73.858737
3.0,248,76.332218
0.0,127,77.641338
2.0,198,79.750628
0.0,127,80.993612
2.0,202,83.081592
2.0,202,85.124971
0.0,127,86.371717
0.0,127,87.745522
3.0,231,90.243248
2.0,201,92.310303
1.0,155,93.875588
0.0,129,95.11253
1.0,174,96.927651
2.0,202,98.973691
1.0,174,100.800871
5.0,350,104.330111
2.0,202,106.401465
3.0,232,108.715372
1.0,176,110.446214
2.0,202,112.460598
1.0,155,114.056991
0.0,127,115.196404
1.0,171,117.007354
1.0,175,118.759204
2.0,203,120.820746
0.0,125,122.065814
0.0,129,123.318582
0.0,125,124.439598
0.0,129,125.716092
1.0,157,127.233312
0.0,129,128.468633
0.0,125,129.676747
0.0,127,130.995505
9.0,404,135.102072
4.0,297,137.924947
0.0,125,139.095152
0.0,127,140.342853
0.0,127,141.557941
0.0,127,142.821862
1.0,155,144.211526
5.0,308,147.494621
3.0,256,150.063857
2.0,204,152.096634
4.0,299,155.063235
2.0,201,156.982918
0.0,127,158.236648
0.0,129,159.554972
1.0,171,161.308588
0.0,129,162.617818
1.0,177,164.53201
5.0,330,167.896028
0.0,127,169.098391
1.0,173,170.929401
3.0,248,173.390235
0.0,127,174.589242
0.0,129,175.82923
2.0,202,177.790587
2.0,200,179.69482
3.0,256,182.388713
4.0,299,185.34725
2.0,190,187.285596
10.0,458,192.149338
1.0,177,193.989279
2.0,200,195.875808
4.0,301,198.760304
2.0,203,200.753984
2.0,201,202.742154
0.0,129,203.91285
5.0,306,207.02473
0.0,129,208.248247
3.0,252,210.857856
2.0,204,212.953218
1.0,173,214.594348
1.0,175,216.24634
2.0,202,218.285759
4.0,276,221.16666
3.0,252,223.831239
9.0,404,228.124336
2.0,225,230.367881
3.0,268,233.099676
0.0,129,234.318003
0.0,129,235.621626
4.0,301,238.822285
4.0,302,241.93516
0.0,129,243.215359
4.0,324,246.407261
7.0,430,250.615701
3.0,230,252.732297
9.0,404,256.617507
1.0,176,258.339496
4.0,284,261.338796
1.0,157,262.829794
2.0,185,264.625593
3.0,250,267.124308
5.0,352,270.683464
2.0,200,272.705816
10.0,451,277.289003
5.0,331,280.520277
1.0,177,282.270788
1.0,157,283.790108
2.0,202,285.742198
3.0,230,288.127467
2.0,198,290.08729
8.0,470,295.009753
0.0,129,296.218112
1.0,157,297.724825
3.0,230,300.05298
12.0,539,305.510317
3.0,250,307.914646
2.0,185,309.710879
2.0,186,311.541734
2.0,186,313.329813
3.0,252,315.793475
2.0,222,317.920021
4.0,299,320.913847
1.0,176,322.689444
6.0,396,326.826653
1.0,157,328.302983
10.0,457,332.996898
2.0,183,334.916603
3.0,247,337.446656
1.0,173,339.158795
2.0,202,341.132189
2.0,202,342.996577
1.0,175,344.591349
0.0,127,345.786343
0.0,127,346.948568
5.0,350,350.221898
9.0,401,354.122915
5.0,350,357.698289
4.0,282,360.557624
3.0,220,362.716813
3.0,275,365.430654
12.0,546,370.881305
1.0,155,372.302026
4.0,245,374.547904
2.0,203,376.553735
7.0,388,380.409667
3.0,216,382.62511
2.0,205,384.572655
5.0,350,387.990809
0.0,125,389.148388
6.0,344,392.615075
5.0,353,396.103603
4.0,300,399.097066
2.0,205,401.137261
4.0,297,404.144745
2.0,202,406.059943
12.0,444,410.557579
5.0,306,413.651827
5.0,310,416.754986
9.0,329,420.070396
8.0,443,424.537937
12.0,320,427.75773
9.0,426,432.068778
9.0,329,435.366941
3.0,238,437.591207
11.0,476,442.308652
6.0,308,445.196018
3.0,253,447.637398
6.0,369,451.240642
8.0,454,455.550079
9.0,330,458.641403
8.0,279,461.339061
2.0,201,463.382005
6.0,357,466.980285
3.0,271,469.679195
8.0,426,473.887729
4.0,264,476.375219
8.0,411,480.512664
6.0,383,484.228568
3.0,251,486.657368
4.0,263,489.348153
8.0,434,493.746925
2.0,202,495.696826
2.0,206,497.706874
14.0,398,501.765881
5.0,328,505.020978
12.0,285,507.861074
6.0,350,511.358591
8.0,375,514.965147
12.0,496,519.940135
8.0,402,523.874484
4.0,261,526.403758
3.0,252,528.866198
6.0,356,532.399283
3.0,235,534.680586
7.0,373,538.353385
5.0,314,541.431606
3.0,253,543.860716
5.0,305,546.918977
9.0,513,551.987499
4.0,267,554.665991
9.0,478,559.339601
4.0,261,561.786128
12.0,425,565.955712
8.0,443,570.315402
5.0,331,573.567591
3.0,255,576.059739
14.0,670,582.980371
6.0,377,586.889971
11.0,429,591.112345
4.0,261,593.611532
6.0,357,597.127971
9.0,404,601.111845
10.0,430,605.409256
8.0,442,609.763106
11.0,499,614.689433
9.0,404,618.634482
17.0,583,624.48846
6.0,359,627.875996
17.0,614,633.96904
5.0,307,636.892356
11.0,480,641.52375
8.0,464,646.218399
11.0,582,652.014975
8.0,484,656.791852
5.0,356,660.301519
